mech,str,model,seed,infl
M08,0.1,LR,13,-0.005884825556956685
M08,0.1,RF,13,-0.07019756200084082
M08,0.1,CatBoost,13,-0.060949978982765884
M08,0.1,LightGBM,13,0.0
M08,0.1,LR,42,-0.005884825556956685
M08,0.1,RF,42,-0.05338377469525013
M08,0.1,CatBoost,42,-0.07860445565363594
M08,0.1,LightGBM,42,0.0
M08,0.1,LR,2026,-0.005884825556956685
M08,0.1,RF,2026,-0.05380411937788987
M08,0.1,CatBoost,2026,-0.13408995376208488
M08,0.1,LightGBM,2026,0.0
M08,0.5,LR,13,-0.058848255569566854
M08,0.5,RF,13,-0.19251786464901233
M08,0.5,CatBoost,13,-0.10760823875577974
M08,0.5,LightGBM,13,-0.030054644808743147
M08,0.5,LR,42,-0.058848255569566854
M08,0.5,RF,42,-0.1836906263135772
M08,0.5,CatBoost,42,-0.1933585540142918
M08,0.5,LightGBM,42,-0.030054644808743147
M08,0.5,LR,2026,-0.058848255569566854
M08,0.5,RF,2026,-0.19461958806221102
M08,0.5,CatBoost,2026,-0.17864649012189987
M08,0.5,LightGBM,2026,-0.030054644808743147
M08,1.0,LR,13,-0.07566204287515754
M08,1.0,RF,13,-0.1441782261454393
M08,1.0,CatBoost,13,-0.15489701555275326
M08,1.0,LightGBM,13,0.005674653215636816
M08,1.0,LR,42,-0.07566204287515754
M08,1.0,RF,42,-0.14375788146279955
M08,1.0,CatBoost,42,-0.17780580075662045
M08,1.0,LightGBM,42,0.005674653215636816
M08,1.0,LR,2026,-0.07566204287515754
M08,1.0,RF,2026,-0.15678856662463214
M08,1.0,CatBoost,2026,-0.19672131147540978
M08,1.0,LightGBM,2026,0.005674653215636816
M08,0.1,LR,13,0.003232323232323253
M08,0.1,RF,13,0.09858585858585844
M08,0.1,CatBoost,13,-0.018989898989899
M08,0.1,LightGBM,13,0.07919191919191926
M08,0.1,LR,42,0.003232323232323253
M08,0.1,RF,42,0.10060606060606059
M08,0.1,CatBoost,42,0.040606060606060757
M08,0.1,LightGBM,42,0.07919191919191926
M08,0.1,LR,2026,0.003232323232323253
M08,0.1,RF,2026,0.11595959595959587
M08,0.1,CatBoost,2026,0.12888888888888883
M08,0.1,LightGBM,2026,0.07919191919191926
M08,0.5,LR,13,0.046060606060606024
M08,0.5,RF,13,0.10424242424242414
M08,0.5,CatBoost,13,0.012929292929292902
M08,0.5,LightGBM,13,-0.0018181818181818299
M08,0.5,LR,42,0.046060606060606024
M08,0.5,RF,42,0.1204040404040404
M08,0.5,CatBoost,42,0.051515151515151625
M08,0.5,LightGBM,42,-0.0018181818181818299
M08,0.5,LR,2026,0.046060606060606024
M08,0.5,RF,2026,0.11999999999999994
M08,0.5,CatBoost,2026,0.11030303030303035
