model_a,model_b,spearman,kendall,cosine
lr,rf,0.8454545454545455,0.7818181818181819,0.9367885983756647
lr,lightgbm,0.7272727272727273,0.7090909090909091,0.9079426585751353
lr,catboost,0.5909090909090909,0.6727272727272727,0.8979954284780758
lr,tabm,0.5909090909090909,0.6727272727272727,0.8992874090511765
rf,lightgbm,0.9727272727272729,0.9272727272727274,0.9970975735795303
rf,catboost,0.9,0.8181818181818182,0.9951345028119531
rf,tabm,0.9,0.8181818181818182,0.9953526729503017
lightgbm,catboost,0.9636363636363637,0.8909090909090909,0.9996764262246691
lightgbm,tabm,0.9636363636363637,0.8909090909090909,0.9997532006170163
catboost,tabm,1.0,1.0,0.999911234902422
