mechanism,model,exploitability,detectability,construction
M01,catboost,0.18984515036522012,0.8524921148132913,1.0
M01,lightgbm,0.1907314750697796,0.8524921148132913,1.0
M01,lr,0.1727379527551718,0.8524921148132913,1.0
M01,rf,0.183684984135188,0.8524921148132913,1.0
M01,tabm,0.16441698493080992,0.8524921148132913,1.0
M02,catboost,0.2137012417577545,0.9222149572649573,1.0
M02,lightgbm,0.2156529812214634,0.9222149572649573,1.0
M02,lr,0.19631834636837353,0.9222149572649573,1.0
M02,rf,0.20464600211804568,0.9222149572649573,1.0
M02,tabm,0.1883540136772809,0.9222149572649573,1.0
M03,catboost,0.3047655440748519,0.13049120074971465,1.0
M03,lightgbm,0.29164278420308437,0.13049120074971465,1.0
M03,lr,-0.001075656999515325,0.13049120074971465,1.0
M03,rf,0.22509375466268675,0.13049120074971465,1.0
M03,tabm,0.26702392907583744,0.13049120074971465,1.0
M04,catboost,-0.0005563892498033365,0.12954715159625374,1.0
M04,lightgbm,0.000272602583661369,0.12954715159625374,1.0
M04,lr,-0.0011241860679041696,0.12954715159625374,1.0
M04,rf,-0.0019523500848938919,0.12954715159625374,1.0
M04,tabm,-0.0024964348815667303,0.12954715159625374,1.0
M05,catboost,-0.00017003875322424783,0.13546345289901016,1.0
M05,lightgbm,-0.0007050488158050527,0.13546345289901016,1.0
M05,lr,-0.00046844556242209577,0.13546345289901016,1.0
M05,rf,-0.0023101624264850627,0.13546345289901016,1.0
M05,tabm,-0.002435199138337563,0.13546345289901016,1.0
M06,catboost,0.295874548014604,0.998,1.0
M06,lightgbm,0.30124946493664917,0.998,1.0
M06,lr,0.27162369032249345,0.998,1.0
M06,rf,0.288617283811631,0.998,1.0
M06,tabm,0.26157072114044305,0.998,1.0
M07,catboost,0.12822145740856403,0.8233307494466318,1.0
M07,lightgbm,0.13382634852306233,0.8233307494466318,1.0
M07,lr,0.11980933761121033,0.8233307494466318,1.0
M07,rf,0.12158377094790768,0.8233307494466318,1.0
M07,tabm,0.11550359975055781,0.8233307494466318,1.0
M08,catboost,0.00800323261469006,0.43140137400782913,1.0
M08,lightgbm,0.002260794406422043,0.43140137400782913,1.0
M08,lr,0.0039169678915536325,0.43140137400782913,1.0
M08,rf,0.005712495488349412,0.43140137400782913,1.0
M08,tabm,0.0026096044413433466,0.43140137400782913,1.0
M09,catboost,0.24650155372167262,0.687225573799546,1.0
M09,lightgbm,0.25020718085110527,0.687225573799546,1.0
M09,lr,0.22418176060259903,0.687225573799546,1.0
M09,rf,0.23994335491299135,0.687225573799546,1.0
M09,tabm,0.21475081878454147,0.687225573799546,1.0
M10,catboost,0.23470815449100788,0.9469166666666666,1.0
M10,lightgbm,0.23852957969440136,0.9469166666666666,1.0
M10,lr,0.217177587712101,0.9469166666666666,1.0
M10,rf,0.22700152558743295,0.9469166666666666,1.0
M10,tabm,0.2104241768949701,0.9469166666666666,1.0
M11,catboost,0.2985305255704254,0.8590781950077935,1.0
M11,lightgbm,0.3036850077643773,0.8590781950077935,1.0
M11,lr,0.27395205047584587,0.8590781950077935,1.0
M11,rf,0.29163290632682554,0.8590781950077935,1.0
M11,tabm,0.26407651206522986,0.8590781950077935,1.0
