mechanism,mean,median,q25,q75,min,max,category
M01,0.8524921148132913,1.0,1.0,1.0,0.04,1.0,simple
M02,0.9222149572649573,1.0,1.0,1.0,0.0769230769230769,1.0,simple
M03,0.13049120074971465,0.0769230769230769,0.0588235294117647,0.1428571428571428,0.04,1.0,boundary
M04,0.12954715159625374,0.0769230769230769,0.0588235294117647,0.1428571428571428,0.04,1.0,structured
M05,0.13546345289901016,0.0769230769230769,0.0476190476190476,0.1428571428571428,0.04,1.0,structured
M06,0.998,1.0,1.0,1.0,0.5,1.0,simple
M07,0.8233307494466318,1.0,1.0,1.0,0.04,1.0,boundary
M08,0.43140137400782913,0.25,0.125,1.0,0.04,1.0,structured
M09,0.687225573799546,0.728125,0.6159598214285714,0.7946428571428572,0.2177397561588738,0.9861111111111112,structured
M10,0.9469166666666666,1.0,1.0,1.0,0.0666666666666666,1.0,simple
M11,0.8590781950077935,0.8958333333333333,0.7857142857142857,1.0,0.1714285714285714,1.0,boundary
