mechanism,detectability,exploitability,category
M01,0.8524921148132913,0.1802833094512339,simple
M02,0.9222149572649573,0.2037345170285836,simple
M03,0.13049120074971465,0.21749007100338905,boundary
M04,0.12954715159625374,-0.0011713515401013518,structured
M05,0.13546345289901016,-0.0012177789392548044,structured
M06,0.998,0.28378714164516416,simple
M07,0.8233307494466318,0.12378890284826043,boundary
M08,0.43140137400782913,0.004500618968471698,structured
M09,0.687225573799546,0.23511693377458195,structured
M10,0.9469166666666666,0.22556820487598264,simple
M11,0.8590781950077935,0.28637540044054083,boundary
