dataset_index,mechanism,strength,seed,detectability_value
0,M04,S1,13,0.2
0,M04,S1,42,0.16666666666666666
0,M04,S1,2026,0.5
0,M04,S1,3407,0.07692307692307693
0,M04,S1,7777,0.07692307692307693
0,M04,S2,13,0.125
0,M04,S2,42,0.07692307692307693
0,M04,S2,2026,0.07692307692307693
0,M04,S2,3407,0.07692307692307693
0,M04,S2,7777,0.07692307692307693
0,M04,S3,13,0.25
0,M04,S3,42,0.07692307692307693
0,M04,S3,2026,0.07692307692307693
0,M04,S3,3407,0.07692307692307693
0,M04,S3,7777,0.125
0,M04,S4,13,0.16666666666666666
0,M04,S4,42,0.07692307692307693
0,M04,S4,2026,0.5
0,M04,S4,3407,0.1111111111111111
0,M04,S4,7777,0.07692307692307693
0,M04,S5,13,0.14285714285714285
0,M04,S5,42,0.1111111111111111
0,M04,S5,2026,0.5
0,M04,S5,3407,0.2
0,M04,S5,7777,0.07692307692307693
0,M05,S1,13,0.14285714285714285
0,M05,S1,42,0.1111111111111111
0,M05,S1,2026,0.07692307692307693
0,M05,S1,3407,0.3333333333333333
0,M05,S1,7777,0.07692307692307693
0,M05,S2,13,0.07692307692307693
0,M05,S2,42,0.14285714285714285
0,M05,S2,2026,0.125
0,M05,S2,3407,0.2
0,M05,S2,7777,0.07692307692307693
0,M05,S3,13,0.125
0,M05,S3,42,0.07692307692307693
0,M05,S3,2026,0.07692307692307693
0,M05,S3,3407,0.125
0,M05,S3,7777,0.07692307692307693
0,M05,S4,13,0.16666666666666666
0,M05,S4,42,0.25
0,M05,S4,2026,0.14285714285714285
0,M05,S4,3407,0.07692307692307693
0,M05,S4,7777,0.2
0,M05,S5,13,0.125
0,M05,S5,42,0.125
0,M05,S5,2026,0.07692307692307693
0,M05,S5,3407,0.07692307692307693
0,M05,S5,7777,0.25
0,M08,S1,13,0.125
0,M08,S1,42,0.07692307692307693
0,M08,S1,2026,0.07692307692307693
0,M08,S1,3407,0.1
0,M08,S1,7777,0.25
0,M08,S2,13,0.14285714285714285
0,M08,S2,42,0.07692307692307693
0,M08,S2,2026,0.07692307692307693
0,M08,S2,3407,0.1111111111111111
0,M08,S2,7777,0.25
0,M08,S3,13,0.3333333333333333
0,M08,S3,42,0.07692307692307693
0,M08,S3,2026,0.2
0,M08,S3,3407,0.1
0,M08,S3,7777,0.5
0,M08,S4,13,0.07692307692307693
0,M08,S4,42,1.0
0,M08,S4,2026,0.07692307692307693
0,M08,S4,3407,1.0
0,M08,S4,7777,0.14285714285714285
0,M08,S5,13,0.125
0,M08,S5,42,0.14285714285714285
0,M08,S5,2026,0.07692307692307693
0,M08,S5,3407,0.125
0,M08,S5,7777,1.0
1,M04,S1,13,0.1
1,M04,S1,42,0.058823529411764705
1,M04,S1,2026,0.1111111111111111
1,M04,S1,3407,0.125
1,M04,S1,7777,0.2
1,M04,S2,13,0.14285714285714285
1,M04,S2,42,0.058823529411764705
1,M04,S2,2026,0.2
1,M04,S2,3407,0.058823529411764705
1,M04,S2,7777,0.058823529411764705
1,M04,S3,13,0.5
1,M04,S3,42,0.058823529411764705
1,M04,S3,2026,0.2
1,M04,S3,3407,0.058823529411764705
1,M04,S3,7777,0.058823529411764705
1,M04,S4,13,0.08333333333333333
1,M04,S4,42,0.1111111111111111
1,M04,S4,2026,0.3333333333333333
1,M04,S4,3407,0.058823529411764705
1,M04,S4,7777,0.058823529411764705
1,M04,S5,13,0.25
1,M04,S5,42,0.058823529411764705
1,M04,S5,2026,0.1111111111111111
1,M04,S5,3407,0.5
1,M04,S5,7777,0.058823529411764705
1,M05,S1,13,0.1111111111111111
1,M05,S1,42,0.058823529411764705
1,M05,S1,2026,0.058823529411764705
1,M05,S1,3407,0.125
1,M05,S1,7777,0.14285714285714285
1,M05,S2,13,0.5
1,M05,S2,42,0.1111111111111111
1,M05,S2,2026,0.08333333333333333
1,M05,S2,3407,0.125
1,M05,S2,7777,0.2
1,M05,S3,13,0.1111111111111111
1,M05,S3,42,0.058823529411764705
1,M05,S3,2026,0.058823529411764705
1,M05,S3,3407,0.5
1,M05,S3,7777,0.058823529411764705
1,M05,S4,13,0.058823529411764705
1,M05,S4,42,0.058823529411764705
1,M05,S4,2026,0.1111111111111111
1,M05,S4,3407,0.058823529411764705
1,M05,S4,7777,0.058823529411764705
1,M05,S5,13,0.14285714285714285
1,M05,S5,42,0.058823529411764705
1,M05,S5,2026,0.14285714285714285
1,M05,S5,3407,0.5
1,M05,S5,7777,0.058823529411764705
1,M08,S1,13,0.14285714285714285
1,M08,S1,42,0.058823529411764705
1,M08,S1,2026,0.14285714285714285
1,M08,S1,3407,0.5
1,M08,S1,7777,0.14285714285714285
1,M08,S2,13,0.14285714285714285
1,M08,S2,42,0.1111111111111111
1,M08,S2,2026,0.5
1,M08,S2,3407,0.5
1,M08,S2,7777,1.0
1,M08,S3,13,0.14285714285714285
1,M08,S3,42,0.058823529411764705
1,M08,S3,2026,0.5
1,M08,S3,3407,1.0
1,M08,S3,7777,0.1111111111111111
1,M08,S4,13,0.14285714285714285
1,M08,S4,42,1.0
1,M08,S4,2026,0.5
1,M08,S4,3407,0.25
1,M08,S4,7777,0.5
1,M08,S5,13,0.058823529411764705
1,M08,S5,42,0.5
1,M08,S5,2026,0.5
1,M08,S5,3407,0.5
1,M08,S5,7777,0.1111111111111111
2,M04,S1,13,0.047619047619047616
2,M04,S1,42,0.047619047619047616
2,M04,S1,2026,0.07692307692307693
2,M04,S1,3407,0.047619047619047616
2,M04,S1,7777,0.047619047619047616
2,M04,S2,13,0.047619047619047616
2,M04,S2,42,0.047619047619047616
2,M04,S2,2026,0.047619047619047616
2,M04,S2,3407,0.2
2,M04,S2,7777,0.07692307692307693
2,M04,S3,13,0.09090909090909091
2,M04,S3,42,0.047619047619047616
2,M04,S3,2026,0.047619047619047616
2,M04,S3,3407,0.047619047619047616
2,M04,S3,7777,1.0
2,M04,S4,13,0.2
2,M04,S4,42,0.047619047619047616
2,M04,S4,2026,0.1111111111111111
2,M04,S4,3407,0.047619047619047616
2,M04,S4,7777,0.3333333333333333
2,M04,S5,13,0.3333333333333333
2,M04,S5,42,0.047619047619047616
2,M04,S5,2026,0.047619047619047616
2,M04,S5,3407,0.3333333333333333
2,M04,S5,7777,0.07692307692307693
2,M05,S1,13,0.07692307692307693
2,M05,S1,42,0.047619047619047616
2,M05,S1,2026,0.047619047619047616
2,M05,S1,3407,0.047619047619047616
2,M05,S1,7777,0.14285714285714285
2,M05,S2,13,0.2
2,M05,S2,42,0.047619047619047616
2,M05,S2,2026,0.047619047619047616
2,M05,S2,3407,0.047619047619047616
2,M05,S2,7777,0.047619047619047616
2,M05,S3,13,0.2
2,M05,S3,42,0.047619047619047616
2,M05,S3,2026,0.07692307692307693
2,M05,S3,3407,0.047619047619047616
2,M05,S3,7777,0.047619047619047616
2,M05,S4,13,0.047619047619047616
2,M05,S4,42,0.047619047619047616
2,M05,S4,2026,0.047619047619047616
2,M05,S4,3407,0.1
2,M05,S4,7777,0.1
2,M05,S5,13,0.047619047619047616
2,M05,S5,42,0.047619047619047616
2,M05,S5,2026,0.047619047619047616
2,M05,S5,3407,0.3333333333333333
2,M05,S5,7777,0.047619047619047616
2,M08,S1,13,1.0
2,M08,S1,42,0.25
2,M08,S1,2026,1.0
2,M08,S1,3407,0.09090909090909091
2,M08,S1,7777,1.0
2,M08,S2,13,1.0
2,M08,S2,42,1.0
2,M08,S2,2026,0.2
2,M08,S2,3407,1.0
2,M08,S2,7777,1.0
2,M08,S3,13,1.0
2,M08,S3,42,1.0
2,M08,S3,2026,1.0
2,M08,S3,3407,1.0
2,M08,S3,7777,1.0
2,M08,S4,13,1.0
2,M08,S4,42,0.2
2,M08,S4,2026,0.3333333333333333
2,M08,S4,3407,1.0
2,M08,S4,7777,1.0
2,M08,S5,13,1.0
2,M08,S5,42,0.2
2,M08,S5,2026,1.0
2,M08,S5,3407,1.0
2,M08,S5,7777,1.0
3,M04,S1,13,0.04
3,M04,S1,42,0.07142857142857142
3,M04,S1,2026,0.1
3,M04,S1,3407,0.09090909090909091
3,M04,S1,7777,0.04
3,M04,S2,13,0.04
3,M04,S2,42,0.1
3,M04,S2,2026,0.07142857142857142
3,M04,S2,3407,0.125
3,M04,S2,7777,0.04
3,M04,S3,13,0.04
3,M04,S3,42,0.08333333333333333
3,M04,S3,2026,0.04
3,M04,S3,3407,0.07142857142857142
3,M04,S3,7777,0.04
3,M04,S4,13,0.04
3,M04,S4,42,0.3333333333333333
3,M04,S4,2026,0.04
3,M04,S4,3407,0.09090909090909091
3,M04,S4,7777,0.3333333333333333
3,M04,S5,13,0.04
3,M04,S5,42,0.25
3,M04,S5,2026,0.1
3,M04,S5,3407,0.04
3,M04,S5,7777,0.09090909090909091
3,M05,S1,13,0.04
3,M05,S1,42,0.04
3,M05,S1,2026,0.1
3,M05,S1,3407,0.08333333333333333
3,M05,S1,7777,0.07142857142857142
3,M05,S2,13,0.04
3,M05,S2,42,0.3333333333333333
3,M05,S2,2026,0.1
3,M05,S2,3407,0.04
3,M05,S2,7777,0.04
3,M05,S3,13,0.04
3,M05,S3,42,0.25
3,M05,S3,2026,0.04
3,M05,S3,3407,0.3333333333333333
3,M05,S3,7777,0.1
3,M05,S4,13,0.04
3,M05,S4,42,0.04
3,M05,S4,2026,0.04
3,M05,S4,3407,0.1
3,M05,S4,7777,0.1
3,M05,S5,13,0.04
3,M05,S5,42,0.04
3,M05,S5,2026,0.04
3,M05,S5,3407,0.04
3,M05,S5,7777,0.04
3,M08,S1,13,0.07142857142857142
3,M08,S1,42,0.3333333333333333
3,M08,S1,2026,0.1
3,M08,S1,3407,0.04
3,M08,S1,7777,0.04
3,M08,S2,13,0.1
3,M08,S2,42,0.04
3,M08,S2,2026,0.1
3,M08,S2,3407,0.09090909090909091
3,M08,S2,7777,0.04
3,M08,S3,13,0.1
3,M08,S3,42,0.3333333333333333
3,M08,S3,2026,0.1
3,M08,S3,3407,0.3333333333333333
