dataset_index,mechanism,strength,model,seed,paired_harm,evidence_tier
0,M01,S1,catboost,13,0.0006250000000002,SP5_FROZEN_CORE
0,M01,S1,catboost,42,0.0806249999999999,SP5_FROZEN_CORE
0,M01,S1,catboost,2026,0.0301041666666667,SP5_FROZEN_CORE
0,M01,S1,catboost,3407,0.0172916666666665,SP5_FROZEN_CORE
0,M01,S1,catboost,7777,0.0561458333333332,SP5_FROZEN_CORE
0,M01,S1,lightgbm,13,0.0511458333333333,SP5_FROZEN_CORE
0,M01,S1,lightgbm,42,0.0469791666666667,SP5_FROZEN_CORE
0,M01,S1,lightgbm,2026,0.0223437499999999,SP5_FROZEN_CORE
0,M01,S1,lightgbm,3407,0.0436458333333333,SP5_FROZEN_CORE
0,M01,S1,lightgbm,7777,0.0004166666666666,SP5_FROZEN_CORE
0,M01,S1,lr,13,0.0240624999999999,SP5_FROZEN_CORE
0,M01,S1,lr,42,0.0110416666666666,SP5_FROZEN_CORE
0,M01,S1,lr,2026,0.0317708333333334,SP5_FROZEN_CORE
0,M01,S1,lr,3407,0.0275,SP5_FROZEN_CORE
0,M01,S1,lr,7777,0.0273958333333332,SP5_FROZEN_CORE
0,M01,S1,modernnca,13,0.0196874999999998,SP6_MODEL_EXPANSION
0,M01,S1,modernnca,42,0.0403124999999999,SP6_MODEL_EXPANSION
0,M01,S1,modernnca,2026,0.0154166666666666,SP6_MODEL_EXPANSION
0,M01,S1,modernnca,3407,-0.018125,SP6_MODEL_EXPANSION
0,M01,S1,modernnca,7777,0.0412500000000001,SP6_MODEL_EXPANSION
0,M01,S1,rf,13,0.0371874999999999,SP5_FROZEN_CORE
0,M01,S1,rf,42,0.0239583333333334,SP5_FROZEN_CORE
0,M01,S1,rf,2026,0.04875,SP5_FROZEN_CORE
0,M01,S1,rf,3407,0.0283333333333333,SP5_FROZEN_CORE
0,M01,S1,rf,7777,0.0085416666666665,SP5_FROZEN_CORE
0,M01,S1,tabm,13,0.0045833333333333,SP5_FROZEN_CORE
0,M01,S1,tabm,42,0.0208333333333333,SP5_FROZEN_CORE
0,M01,S1,tabm,2026,0.0118749999999999,SP5_FROZEN_CORE
0,M01,S1,tabm,3407,0.0236458333333333,SP5_FROZEN_CORE
0,M01,S1,tabm,7777,0.0428124999999999,SP5_FROZEN_CORE
0,M01,S1,tabr,13,-0.0238541666666666,SP6_MODEL_EXPANSION
0,M01,S1,tabr,42,-0.0246875,SP6_MODEL_EXPANSION
0,M01,S1,tabr,2026,0.0418750000000001,SP6_MODEL_EXPANSION
0,M01,S1,tabr,3407,0.060625,SP6_MODEL_EXPANSION
0,M01,S1,tabr,7777,0.024375,SP6_MODEL_EXPANSION
0,M01,S2,catboost,13,0.0858333333333333,SP5_FROZEN_CORE
0,M01,S2,catboost,42,0.1474999999999999,SP5_FROZEN_CORE
0,M01,S2,catboost,2026,0.1773958333333333,SP5_FROZEN_CORE
0,M01,S2,catboost,3407,0.0898958333333332,SP5_FROZEN_CORE
0,M01,S2,catboost,7777,0.1277083333333333,SP5_FROZEN_CORE
0,M01,S2,lightgbm,13,0.1325000000000001,SP5_FROZEN_CORE
0,M01,S2,lightgbm,42,0.1447916666666667,SP5_FROZEN_CORE
0,M01,S2,lightgbm,2026,0.1592708333333333,SP5_FROZEN_CORE
0,M01,S2,lightgbm,3407,0.1264583333333334,SP5_FROZEN_CORE
0,M01,S2,lightgbm,7777,0.133125,SP5_FROZEN_CORE
0,M01,S2,lr,13,0.0923958333333333,SP5_FROZEN_CORE
0,M01,S2,lr,42,0.0778124999999999,SP5_FROZEN_CORE
0,M01,S2,lr,2026,0.1221875,SP5_FROZEN_CORE
0,M01,S2,lr,3407,0.0905208333333333,SP5_FROZEN_CORE
0,M01,S2,lr,7777,0.0857291666666666,SP5_FROZEN_CORE
0,M01,S2,modernnca,13,0.0982291666666665,SP6_MODEL_EXPANSION
0,M01,S2,modernnca,42,0.1106249999999998,SP6_MODEL_EXPANSION
0,M01,S2,modernnca,2026,0.1110416666666664,SP6_MODEL_EXPANSION
0,M01,S2,modernnca,3407,0.1028125,SP6_MODEL_EXPANSION
0,M01,S2,modernnca,7777,0.1212499999999999,SP6_MODEL_EXPANSION
0,M01,S2,rf,13,0.1092708333333332,SP5_FROZEN_CORE
0,M01,S2,rf,42,0.1104166666666667,SP5_FROZEN_CORE
0,M01,S2,rf,2026,0.1392708333333333,SP5_FROZEN_CORE
0,M01,S2,rf,3407,0.0971875000000001,SP5_FROZEN_CORE
0,M01,S2,rf,7777,0.0866666666666665,SP5_FROZEN_CORE
0,M01,S2,tabm,13,0.0677083333333333,SP5_FROZEN_CORE
0,M01,S2,tabm,42,0.0983333333333333,SP5_FROZEN_CORE
0,M01,S2,tabm,2026,0.123125,SP5_FROZEN_CORE
0,M01,S2,tabm,3407,0.0888541666666665,SP5_FROZEN_CORE
0,M01,S2,tabm,7777,0.1510416666666666,SP5_FROZEN_CORE
0,M01,S2,tabr,13,0.0830208333333333,SP6_MODEL_EXPANSION
0,M01,S2,tabr,42,0.0727083333333333,SP6_MODEL_EXPANSION
0,M01,S2,tabr,2026,0.1221875,SP6_MODEL_EXPANSION
0,M01,S2,tabr,3407,0.1219791666666666,SP6_MODEL_EXPANSION
0,M01,S2,tabr,7777,0.0611458333333333,SP6_MODEL_EXPANSION
0,M01,S3,catboost,13,0.2036458333333334,SP5_FROZEN_CORE
0,M01,S3,catboost,42,0.1895312499999999,SP5_FROZEN_CORE
0,M01,S3,catboost,2026,0.2639583333333334,SP5_FROZEN_CORE
0,M01,S3,catboost,3407,0.2079166666666666,SP5_FROZEN_CORE
0,M01,S3,catboost,7777,0.2014583333333333,SP5_FROZEN_CORE
0,M01,S3,lightgbm,13,0.26203125,SP5_FROZEN_CORE
0,M01,S3,lightgbm,42,0.1855208333333333,SP5_FROZEN_CORE
