dataset_index,mechanism,strength,seed,raw_rows,ever_success,ever_timeout,last_status,dedup_kept,classification
0,M01,S1,13,1,True,False,SUCCESS,SUCCESS,FORMAL_SUCCESS
0,M01,S1,42,1,True,False,SUCCESS,SUCCESS,FORMAL_SUCCESS
0,M01,S1,2026,1,True,False,SUCCESS,SUCCESS,FORMAL_SUCCESS
0,M01,S1,3407,1,True,False,SUCCESS,SUCCESS,FORMAL_SUCCESS
0,M01,S1,7777,1,True,False,SUCCESS,SUCCESS,FORMAL_SUCCESS
0,M01,S2,13,1,True,False,SUCCESS,SUCCESS,FORMAL_SUCCESS
0,M01,S2,42,1,True,False,SUCCESS,SUCCESS,FORMAL_SUCCESS
0,M01,S2,2026,1,True,False,SUCCESS,SUCCESS,FORMAL_SUCCESS
0,M01,S2,3407,1,True,False,SUCCESS,SUCCESS,FORMAL_SUCCESS
0,M01,S2,7777,1,True,False,SUCCESS,SUCCESS,FORMAL_SUCCESS
0,M01,S3,13,1,True,False,SUCCESS,SUCCESS,FORMAL_SUCCESS
0,M01,S3,42,1,True,False,SUCCESS,SUCCESS,FORMAL_SUCCESS
0,M01,S3,2026,1,True,False,SUCCESS,SUCCESS,FORMAL_SUCCESS
0,M01,S3,3407,1,True,False,SUCCESS,SUCCESS,FORMAL_SUCCESS
0,M01,S3,7777,1,True,False,SUCCESS,SUCCESS,FORMAL_SUCCESS
0,M01,S4,13,1,True,False,SUCCESS,SUCCESS,FORMAL_SUCCESS
0,M01,S4,42,1,True,False,SUCCESS,SUCCESS,FORMAL_SUCCESS
0,M01,S4,2026,1,True,False,SUCCESS,SUCCESS,FORMAL_SUCCESS
0,M01,S4,3407,1,True,False,SUCCESS,SUCCESS,FORMAL_SUCCESS
0,M01,S4,7777,1,True,False,SUCCESS,SUCCESS,FORMAL_SUCCESS
0,M01,S5,13,1,True,False,SUCCESS,SUCCESS,FORMAL_SUCCESS
0,M01,S5,42,1,True,False,SUCCESS,SUCCESS,FORMAL_SUCCESS
0,M01,S5,2026,1,True,False,SUCCESS,SUCCESS,FORMAL_SUCCESS
0,M01,S5,3407,1,True,False,SUCCESS,SUCCESS,FORMAL_SUCCESS
