hypothesis,model,mechanism,baseline,intervention_harm,ci,effect_reduction,O1_harm
H2,tabm,M04,-0.002024,-0.0013640814599170284,"[-0.003063108522052581, 0.00026635860493420637]",0.326,
H2,tabm,M05,-0.00148,-0.001430813603398787,"[-0.003363021075701891, 9.311351024694134e-05]",0.033,
H2,modernnca,M04,-0.00209,0.003329092435843674,"[-0.00376191759959235, 0.009486555195747842]",-0.593,
H2,modernnca,M05,-0.004662,-0.000837225469393714,"[-0.0074076679325923815, 0.005392716466235428]",0.82,
H2,tabr,M04,-0.003016,-0.006491605506439959,"[-0.014027488324592023, 0.00048614578380724144]",-1.152,
H2,tabr,M05,-0.003084,-0.00829601334208008,"[-0.014580780137865687, -0.002967822734588364]",-1.69,
H4,tabm,M04,-0.002024,,"[-0.004825283010461335, 1.663677708516404e-05]",-0.0,-0.002024311398263467
H4,tabm,M05,-0.00148,,"[-0.00390902872049528, 0.00036633233732297324]",-0.0,-0.0014802092205021813
H4,modernnca,M04,-0.00209,,"[-0.007930218867326895, 0.005878974102114578]",0.5,-0.0010453678895765719
H4,modernnca,M05,-0.004662,,"[-0.011564513399899697, 0.006596892816931809]",0.508,-0.0022913944668326003
H4,tabr,M04,-0.003016,,"[-0.012003763848974803, 0.003024611591357537]",-0.387,-0.004183117823665181
H4,tabr,M05,-0.003084,,"[-0.012065223364581152, 0.0057143210569015265]",-0.228,-0.003787204779099722
