model,mechanism,baseline_harm,baseline_ci_lo,baseline_ci_hi
modernnca,M04,-0.00209,-0.010276,0.007628
modernnca,M05,-0.004662,-0.012987,0.003546
tabm,M01,0.194752,0.174735,0.221384
tabm,M02,0.221007,0.201493,0.249569
tabm,M03,0.306819,0.283747,0.340327
tabm,M04,-0.002024,-0.004825,1.7e-05
tabm,M05,-0.00148,-0.003909,0.000366
tabm,M06,0.301351,0.277845,0.334994
tabm,M07,0.132334,0.120725,0.147128
tabm,M08,0.002496,-0.010125,0.013003
tabm,M09,0.24834,0.227095,0.277222
tabm,M10,0.244972,0.222992,0.274478
tabm,M11,0.304076,0.279974,0.337677
tabr,M04,-0.003016,-0.011178,0.004164
tabr,M05,-0.003084,-0.010993,0.006096
