dataset_index,mechanism,strength,seed,split,univariate_auc,pearson,spearman
0,M04,S1,13,train,0.470788,-0.04198,-0.04928
0,M04,S1,13,val,0.501429,-0.013819,0.00236
0,M04,S1,13,test,0.490312,-0.018177,-0.01644
0,M04,S1,42,train,0.497376,-0.006214,-0.004426
0,M04,S1,42,val,0.426484,-0.114338,-0.121471
0,M04,S1,42,test,0.451979,-0.08854,-0.081495
0,M04,S1,2026,train,0.455854,-0.071146,-0.074473
0,M04,S1,2026,val,0.452637,-0.064173,-0.078257
0,M04,S1,2026,test,0.471979,-0.052028,-0.047554
0,M04,S1,3407,train,0.519221,0.016967,0.032425
0,M04,S1,3407,val,0.445275,-0.106438,-0.090422
0,M04,S1,3407,test,0.555,0.067924,0.093339
0,M04,S1,7777,train,0.514278,0.038776,0.024087
0,M04,S1,7777,val,0.502198,0.014893,0.003631
0,M04,S1,7777,test,0.556771,0.106914,0.096345
0,M04,S2,13,train,0.465787,-0.051983,-0.057717
0,M04,S2,13,val,0.498901,-0.016853,-0.001816
0,M04,S2,13,test,0.491562,-0.017612,-0.014319
0,M04,S2,42,train,0.491883,-0.018487,-0.013693
0,M04,S2,42,val,0.426154,-0.114651,-0.122015
0,M04,S2,42,test,0.45625,-0.08683,-0.074247
0,M04,S2,2026,train,0.453348,-0.078509,-0.078701
0,M04,S2,2026,val,0.453626,-0.06622,-0.076623
0,M04,S2,2026,test,0.473021,-0.051121,-0.045786
0,M04,S2,3407,train,0.511233,0.002707,0.018949
0,M04,S2,3407,val,0.442967,-0.107803,-0.094235
0,M04,S2,3407,test,0.555833,0.068344,0.094753
0,M04,S2,7777,train,0.5093,0.022269,0.015689
0,M04,S2,7777,val,0.501758,0.011449,0.002905
0,M04,S2,7777,test,0.559375,0.106948,0.100764
0,M04,S3,13,train,0.461675,-0.057989,-0.064653
0,M04,S3,13,val,0.497912,-0.019708,-0.00345
0,M04,S3,13,test,0.490833,-0.016953,-0.015557
0,M04,S3,42,train,0.487502,-0.027712,-0.021083
0,M04,S3,42,val,0.429451,-0.114154,-0.116568
0,M04,S3,42,test,0.461458,-0.084608,-0.065408
0,M04,S3,2026,train,0.453605,-0.081703,-0.078267
0,M04,S3,2026,val,0.453297,-0.06775,-0.077167
0,M04,S3,2026,test,0.472708,-0.049899,-0.046316
0,M04,S3,3407,train,0.504275,-0.008984,0.007212
0,M04,S3,3407,val,0.440989,-0.108286,-0.097503
0,M04,S3,3407,test,0.556667,0.068398,0.096168
0,M04,S3,7777,train,0.505704,0.008231,0.009623
0,M04,S3,7777,val,0.502308,0.00805,0.003813
0,M04,S3,7777,test,0.558125,0.10645,0.098643
0,M04,S4,13,train,0.460141,-0.0612,-0.067241
0,M04,S4,13,val,0.495824,-0.022326,-0.0069
0,M04,S4,13,test,0.493021,-0.016215,-0.011844
0,M04,S4,42,train,0.485898,-0.034282,-0.02379
0,M04,S4,42,val,0.430549,-0.112989,-0.114753
0,M04,S4,42,test,0.462708,-0.081973,-0.063287
0,M04,S4,2026,train,0.456182,-0.082295,-0.07392
0,M04,S4,2026,val,0.453187,-0.068787,-0.077349
0,M04,S4,2026,test,0.471875,-0.048411,-0.04773
0,M04,S4,3407,train,0.499321,-0.017921,-0.001146
0,M04,S4,3407,val,0.438681,-0.107991,-0.101316
0,M04,S4,3407,test,0.558229,0.068098,0.098819
0,M04,S4,7777,train,0.502073,-0.002818,0.003497
0,M04,S4,7777,val,0.504945,0.004778,0.008171
0,M04,S4,7777,test,0.557708,0.105456,0.097936
