dataset_index,mechanism,strength,seed,PSI
0,M04,S1,13,0.060575
0,M04,S1,42,0.202519
0,M04,S1,2026,0.111195
0,M04,S1,3407,0.131522
0,M04,S1,7777,0.054122
0,M04,S2,13,0.205974
0,M04,S2,42,0.284033
0,M04,S2,2026,0.260003
0,M04,S2,3407,0.194952
0,M04,S2,7777,0.152969
0,M04,S3,13,0.396197
0,M04,S3,42,0.614389
0,M04,S3,2026,1.457899
0,M04,S3,3407,0.400364
0,M04,S3,7777,0.288621
0,M04,S4,13,0.631202
0,M04,S4,42,0.903498
0,M04,S4,2026,1.693292
0,M04,S4,3407,0.694543
0,M04,S4,7777,0.566395
0,M04,S5,13,0.997076
0,M04,S5,42,2.15294
0,M04,S5,2026,2.840897
0,M04,S5,3407,1.829544
0,M04,S5,7777,1.013229
0,M05,S1,13,0.053517
0,M05,S1,42,0.18073
0,M05,S1,2026,0.105388
0,M05,S1,3407,0.09399
0,M05,S1,7777,0.062657
0,M05,S2,13,0.162679
0,M05,S2,42,0.22452
0,M05,S2,2026,0.275259
0,M05,S2,3407,0.141976
0,M05,S2,7777,0.144903
0,M05,S3,13,0.349041
0,M05,S3,42,0.376118
0,M05,S3,2026,0.340594
0,M05,S3,3407,0.283912
0,M05,S3,7777,0.267334
0,M05,S4,13,0.491474
0,M05,S4,42,0.448349
0,M05,S4,2026,0.469239
0,M05,S4,3407,0.458886
0,M05,S4,7777,0.387418
0,M05,S5,13,0.502555
0,M05,S5,42,0.52575
0,M05,S5,2026,0.679923
0,M05,S5,3407,0.551938
0,M05,S5,7777,0.547043
1,M04,S1,13,0.029819
1,M04,S1,42,0.116458
1,M04,S1,2026,0.100118
1,M04,S1,3407,0.061488
1,M04,S1,7777,0.060618
1,M04,S2,13,0.065985
1,M04,S2,42,0.057039
1,M04,S2,2026,0.137853
1,M04,S2,3407,0.042984
1,M04,S2,7777,0.048702
1,M04,S3,13,0.123244
1,M04,S3,42,0.079092
1,M04,S3,2026,0.13034
1,M04,S3,3407,0.04384
1,M04,S3,7777,0.026367
1,M04,S4,13,0.117309
1,M04,S4,42,0.102869
1,M04,S4,2026,0.118486
1,M04,S4,3407,0.062624
1,M04,S4,7777,0.037868
1,M04,S5,13,0.187989
1,M04,S5,42,0.126398
1,M04,S5,2026,0.154723
1,M04,S5,3407,0.08347
1,M04,S5,7777,0.056296
1,M05,S1,13,0.050549
1,M05,S1,42,0.062597
1,M05,S1,2026,0.069598
1,M05,S1,3407,0.023184
1,M05,S1,7777,0.034462
1,M05,S2,13,0.103714
1,M05,S2,42,0.120666
1,M05,S2,2026,0.146211
1,M05,S2,3407,0.110518
1,M05,S2,7777,0.028758
1,M05,S3,13,0.266459
1,M05,S3,42,0.192502
1,M05,S3,2026,0.235359
1,M05,S3,3407,0.113847
1,M05,S3,7777,0.075344
1,M05,S4,13,0.364649
1,M05,S4,42,0.244338
1,M05,S4,2026,0.327582
1,M05,S4,3407,0.202475
1,M05,S4,7777,0.126178
1,M05,S5,13,1.510712
1,M05,S5,42,0.396543
1,M05,S5,2026,0.459796
1,M05,S5,3407,0.406613
1,M05,S5,7777,0.365595
2,M04,S1,13,0.120922
2,M04,S1,42,0.055527
2,M04,S1,2026,0.085233
2,M04,S1,3407,0.063032
2,M04,S1,7777,0.032465
2,M04,S2,13,0.075212
2,M04,S2,42,0.055403
2,M04,S2,2026,0.130645
2,M04,S2,3407,0.074677
2,M04,S2,7777,0.031503
2,M04,S3,13,0.09889
2,M04,S3,42,0.108904
2,M04,S3,2026,0.18905
2,M04,S3,3407,0.094014
2,M04,S3,7777,0.049264
2,M04,S4,13,0.252645
2,M04,S4,42,0.107303
2,M04,S4,2026,0.205616
2,M04,S4,3407,0.098518
2,M04,S4,7777,0.086938
2,M04,S5,13,0.254096
2,M04,S5,42,0.205739
2,M04,S5,2026,0.213635
2,M04,S5,3407,0.138206
2,M04,S5,7777,0.145613
2,M05,S1,13,0.029487
2,M05,S1,42,0.051087
2,M05,S1,2026,0.103503
2,M05,S1,3407,0.097443
2,M05,S1,7777,0.06576
2,M05,S2,13,0.032048
2,M05,S2,42,0.042874
2,M05,S2,2026,0.067342
2,M05,S2,3407,0.05048
2,M05,S2,7777,0.055026
2,M05,S3,13,0.044369
2,M05,S3,42,0.052191
2,M05,S3,2026,0.045045
2,M05,S3,3407,0.036976
2,M05,S3,7777,0.039283
2,M05,S4,13,0.041246
2,M05,S4,42,0.086972
2,M05,S4,2026,0.043744
2,M05,S4,3407,0.090356
2,M05,S4,7777,0.063777
2,M05,S5,13,0.060083
2,M05,S5,42,0.106167
2,M05,S5,2026,0.094683
2,M05,S5,3407,0.056229
2,M05,S5,7777,0.062993
3,M04,S1,13,0.060216
3,M04,S1,42,0.046692
3,M04,S1,2026,0.039632
3,M04,S1,3407,0.067601
3,M04,S1,7777,0.048657
3,M04,S2,13,0.054525
3,M04,S2,42,0.114658
3,M04,S2,2026,0.045074
3,M04,S2,3407,0.030985
3,M04,S2,7777,0.02654
3,M04,S3,13,0.07141
3,M04,S3,42,0.084175
3,M04,S3,2026,0.096235
3,M04,S3,3407,0.063109
3,M04,S3,7777,0.030652
3,M04,S4,13,0.127966
3,M04,S4,42,0.096004
3,M04,S4,2026,0.113385
3,M04,S4,3407,0.071425
3,M04,S4,7777,0.054645
3,M04,S5,13,0.189183
3,M04,S5,42,0.194243
3,M04,S5,2026,0.168314
3,M04,S5,3407,0.091198
3,M04,S5,7777,0.120316
3,M05,S1,13,0.056781
3,M05,S1,42,0.060074
3,M05,S1,2026,0.070532
3,M05,S1,3407,0.059252
3,M05,S1,7777,0.044505
3,M05,S2,13,0.045846
3,M05,S2,42,0.075011
3,M05,S2,2026,0.062857
3,M05,S2,3407,0.052711
3,M05,S2,7777,0.034272
3,M05,S3,13,0.080316
3,M05,S3,42,0.092795
3,M05,S3,2026,0.095331
3,M05,S3,3407,0.056372
3,M05,S3,7777,0.013988
3,M05,S4,13,0.164966
3,M05,S4,42,0.182293
3,M05,S4,2026,0.103154
3,M05,S4,3407,0.084652
3,M05,S4,7777,0.055508
3,M05,S5,13,0.253703
3,M05,S5,42,0.215234
3,M05,S5,2026,0.119076
3,M05,S5,3407,0.137651
3,M05,S5,7777,0.08252
4,M04,S1,13,0.032387
4,M04,S1,42,0.063948
4,M04,S1,2026,0.081245
4,M04,S1,3407,0.077764
4,M04,S1,7777,0.043176
4,M04,S2,13,0.048377
4,M04,S2,42,0.108944
4,M04,S2,2026,0.099581
4,M04,S2,3407,0.071974
4,M04,S2,7777,0.01378
4,M04,S3,13,0.099258
4,M04,S3,42,0.215419
4,M04,S3,2026,0.122436
4,M04,S3,3407,0.05844
4,M04,S3,7777,0.053506
4,M04,S4,13,0.209
4,M04,S4,42,0.279978
4,M04,S4,2026,0.234494
4,M04,S4,3407,0.116399
4,M04,S4,7777,0.117639
4,M04,S5,13,0.272217
4,M04,S5,42,0.473208
4,M04,S5,2026,0.350992
4,M04,S5,3407,0.176704
4,M04,S5,7777,0.160751
4,M05,S1,13,0.0284
4,M05,S1,42,0.029401
4,M05,S1,2026,0.042937
4,M05,S1,3407,0.062143
