dataset_index,mean,count,model,mechanism
0,-0.00859999999999998,25,tabm,M04
1,-0.004037680407916333,25,tabm,M04
2,-0.0007296380090497119,25,tabm,M04
3,-0.0008596743295018999,25,tabm,M04
4,-0.002976877137461012,25,tabm,M04
5,-0.005852991452991376,25,tabm,M04
6,-0.003937366351658968,25,tabm,M04
7,0.0005548170837426599,25,tabm,M04
8,-0.0008591269841270082,25,tabm,M04
9,0.00016356749311296017,25,tabm,M04
10,0.0015624999999999884,25,tabm,M04
11,-0.002279745164437816,25,tabm,M04
12,0.003149758454106271,25,tabm,M04
13,-0.002044739022369544,25,tabm,M04
14,-0.0006073104821505439,25,tabm,M04
15,-0.0037404214559387,25,tabm,M04
16,-0.005480225988700524,25,tabm,M04
17,-0.01198824843795255,25,tabm,M04
18,0.000647085658139408,25,tabm,M04
19,-0.002012381096179924,25,tabm,M04
0,-0.007037500000000007,25,tabm,M05
1,-0.0044352259960245225,25,tabm,M05
2,-0.000486425339366464,25,tabm,M05
3,-0.0001484674329501872,25,tabm,M05
4,-0.0025358583022816123,25,tabm,M05
5,-0.007702564102564028,25,tabm,M05
6,-0.005016210250396608,25,tabm,M05
7,9.709298965497597e-05,25,tabm,M05
8,0.002980158730158728,25,tabm,M05
9,-0.0004424931129476321,25,tabm,M05
10,0.0024681712962962964,25,tabm,M05
11,-0.001655283246283624,25,tabm,M05
12,0.002662801932367164,25,tabm,M05
13,-2.982601491303215e-05,25,tabm,M05
14,0.001466363248470992,25,tabm,M05
15,-0.011925287356321876,25,tabm,M05
16,-0.005792978208232392,25,tabm,M05
17,-0.012453345471096893,25,tabm,M05
18,0.001447169877530916,25,tabm,M05
19,-0.0001642760078514539,25,tabm,M05
0,-0.011529166666666724,25,modernnca,M04
1,-0.0012479474548440326,25,modernnca,M04
2,-0.0097313348416289,25,modernnca,M04
3,-0.005924329501915712,25,modernnca,M04
4,0.019235363176969014,25,modernnca,M04
5,-0.012475213675213712,25,modernnca,M04
6,-0.010095881906601387,25,modernnca,M04
7,0.0050580824134543075,25,modernnca,M04
8,-0.005706349206349152,25,modernnca,M04
9,-0.0014101239669421235,25,modernnca,M04
10,0.008906249999999975,25,modernnca,M04
11,-0.01712908224760369,25,modernnca,M04
12,-0.0035710144927535957,25,modernnca,M04
13,-0.005519469759734807,25,modernnca,M04
14,-0.013727776987626276,25,modernnca,M04
15,-0.005742337164750908,25,modernnca,M04
16,-0.016501210653753016,25,modernnca,M04
17,-0.012973062440518053,25,modernnca,M04
18,-0.008391058707934048,25,modernnca,M04
19,0.004964517590215968,25,modernnca,M04
0,-0.015725000000000044,25,modernnca,M05
1,0.0002523550254947438,25,modernnca,M05
2,0.0016572398190045673,25,modernnca,M05
3,-0.005244252873563215,25,modernnca,M05
4,0.007125720994334136,25,modernnca,M05
5,0.0012410256410255837,25,modernnca,M05
6,-0.030577360833275887,25,modernnca,M05
7,0.006438189909264288,25,modernnca,M05
8,-0.006234126984126944,25,modernnca,M05
9,-0.01977444903581263,25,modernnca,M05
10,0.0037818287037037317,25,modernnca,M05
11,-0.01095333754232908,25,modernnca,M05
12,-0.0437797101449275,25,modernnca,M05
13,-0.002053024026511967,25,modernnca,M05
14,-0.007511022614137464,25,modernnca,M05
15,-0.00648227969348658,25,modernnca,M05
16,-0.014683212267958028,25,modernnca,M05
17,-0.008949393801464776,25,modernnca,M05
18,-0.002365161245043225,25,modernnca,M05
19,0.008239166540842576,25,modernnca,M05
0,-0.0056916666666667086,25,tabr,M04
1,-0.010101114856105731,25,tabr,M04
2,-0.02160067873303165,25,tabr,M04
3,-0.006803160919540229,25,tabr,M04
4,0.009688122096881224,25,tabr,M04
5,-0.0187316239316239,25,tabr,M04
6,0.005021728633510429,25,tabr,M04
7,0.0008044847714269596,25,tabr,M04
8,0.004668650793650798,25,tabr,M04
9,-0.005482093663911844,25,tabr,M04
10,-0.028718171296296308,25,tabr,M04
11,0.009208517476898328,25,tabr,M04
12,0.0013120772946859718,25,tabr,M04
13,-0.003705053852526904,25,tabr,M04
14,0.004430379746835401,25,tabr,M04
15,-0.003292624521072748,25,tabr,M04
16,-0.022320419693301036,25,tabr,M04
17,0.0012215003930980358,25,tabr,M04
18,-0.012660981857739388,25,tabr,M04
19,0.011695606220745844,25,tabr,M04
0,-0.01494583333333336,25,tabr,M05
1,-0.011909083052458665,25,tabr,M05
2,-0.01322963800904976,25,tabr,M05
3,-0.007253352490421444,25,tabr,M05
4,0.015509162370476257,25,tabr,M05
5,-0.021357264957264928,25,tabr,M05
6,-0.0006042629509553478,25,tabr,M05
7,0.0019048719875166876,25,tabr,M05
8,0.006998015873015828,25,tabr,M05
9,-0.010547520661156995,25,tabr,M05
10,-0.024470486111111165,25,tabr,M05
11,0.013556792745221799,25,tabr,M05
12,0.004904347826086949,25,tabr,M05
13,-0.002896437448218748,25,tabr,M05
14,0.0030891765040534525,25,tabr,M05
15,0.0009386973180077002,25,tabr,M05
16,-0.029402744148506854,25,tabr,M05
17,-0.0014184631936111,25,tabr,M05
18,-0.00431343650208796,25,tabr,M05
19,0.013085912728370768,25,tabr,M05
