model,mechanism,removed_dataset,mean_without
tabm,M04,0,-0.002175
tabm,M04,1,-0.002415
tabm,M04,2,-0.002589
tabm,M04,3,-0.002583
tabm,M04,4,-0.002471
tabm,M04,5,-0.00232
tabm,M04,6,-0.002421
tabm,M04,7,-0.002657
tabm,M04,8,-0.002583
tabm,M04,9,-0.002636
tabm,M04,10,-0.00271
tabm,M04,11,-0.002508
tabm,M04,12,-0.002794
tabm,M04,13,-0.00252
tabm,M04,14,-0.002596
tabm,M04,15,-0.002431
tabm,M04,16,-0.002339
tabm,M04,17,-0.001997
tabm,M04,18,-0.002662
tabm,M04,19,-0.002522
tabm,M05,0,-0.002193
tabm,M05,1,-0.00233
tabm,M05,2,-0.002538
tabm,M05,3,-0.002556
tabm,M05,4,-0.00243
tabm,M05,5,-0.002158
tabm,M05,6,-0.002299
tabm,M05,7,-0.002568
tabm,M05,8,-0.00272
tabm,M05,9,-0.00254
tabm,M05,10,-0.002693
tabm,M05,11,-0.002476
tabm,M05,12,-0.002704
tabm,M05,13,-0.002562
tabm,M05,14,-0.002641
tabm,M05,15,-0.001936
tabm,M05,16,-0.002258
tabm,M05,17,-0.001908
tabm,M05,18,-0.00264
tabm,M05,19,-0.002555
modernnca,M04,0,-0.004841
modernnca,M04,1,-0.005382
modernnca,M04,2,-0.004936
modernnca,M04,3,-0.005136
modernnca,M04,4,-0.00646
modernnca,M04,5,-0.004791
modernnca,M04,6,-0.004917
modernnca,M04,7,-0.005714
modernnca,M04,8,-0.005148
modernnca,M04,9,-0.005374
modernnca,M04,10,-0.005917
modernnca,M04,11,-0.004546
modernnca,M04,12,-0.00526
modernnca,M04,13,-0.005157
modernnca,M04,14,-0.004725
modernnca,M04,15,-0.005146
modernnca,M04,16,-0.004579
modernnca,M04,17,-0.004765
modernnca,M04,18,-0.005006
modernnca,M04,19,-0.005709
modernnca,M05,0,-0.006835
modernnca,M05,1,-0.007676
modernnca,M05,2,-0.00775
modernnca,M05,3,-0.007387
modernnca,M05,4,-0.008038
modernnca,M05,5,-0.007728
modernnca,M05,6,-0.006054
modernnca,M05,7,-0.008002
modernnca,M05,8,-0.007335
modernnca,M05,9,-0.006622
modernnca,M05,10,-0.007862
modernnca,M05,11,-0.007086
modernnca,M05,12,-0.005359
modernnca,M05,13,-0.007555
modernnca,M05,14,-0.007268
modernnca,M05,15,-0.007322
modernnca,M05,16,-0.00689
modernnca,M05,17,-0.007192
modernnca,M05,18,-0.007539
modernnca,M05,19,-0.008097
tabr,M04,0,-0.004493
tabr,M04,1,-0.004261
tabr,M04,2,-0.003656
tabr,M04,3,-0.004434
tabr,M04,4,-0.005302
tabr,M04,5,-0.003807
tabr,M04,6,-0.005057
tabr,M04,7,-0.004835
tabr,M04,8,-0.005038
tabr,M04,9,-0.004504
tabr,M04,10,-0.003281
tabr,M04,11,-0.005277
tabr,M04,12,-0.004862
tabr,M04,13,-0.004597
tabr,M04,14,-0.005026
tabr,M04,15,-0.004619
tabr,M04,16,-0.003618
tabr,M04,17,-0.004857
tabr,M04,18,-0.004126
tabr,M04,19,-0.005408
tabr,M05,0,-0.003548
tabr,M05,1,-0.003708
tabr,M05,2,-0.003639
tabr,M05,3,-0.003953
tabr,M05,4,-0.005151
tabr,M05,5,-0.003211
tabr,M05,6,-0.004303
tabr,M05,7,-0.004435
tabr,M05,8,-0.004703
tabr,M05,9,-0.00378
tabr,M05,10,-0.003047
tabr,M05,11,-0.005048
tabr,M05,12,-0.004593
tabr,M05,13,-0.004182
tabr,M05,14,-0.004497
tabr,M05,15,-0.004384
tabr,M05,16,-0.002787
tabr,M05,17,-0.00426
tabr,M05,18,-0.004108
tabr,M05,19,-0.005024
