model,mechanism,seed,mean
tabm,M04,13,-0.001968
tabm,M04,42,-0.001524
tabm,M04,2026,-0.00483
tabm,M04,3407,-0.002956
tabm,M04,7777,-0.001204
tabm,M05,13,-0.003074
tabm,M05,42,-0.00085
tabm,M05,2026,-0.005589
tabm,M05,3407,-0.002179
tabm,M05,7777,-0.000485
modernnca,M04,13,-0.010007
modernnca,M04,42,-0.004627
modernnca,M04,2026,-0.003731
modernnca,M04,3407,-0.003583
modernnca,M04,7777,-0.00393
modernnca,M05,13,-0.010454
modernnca,M05,42,-0.005472
modernnca,M05,2026,-0.01031
modernnca,M05,3407,-0.005091
modernnca,M05,7777,-0.005072
tabr,M04,13,-0.00727
tabr,M04,42,-0.003992
tabr,M04,2026,-0.004976
tabr,M04,3407,0.00575
tabr,M04,7777,-0.012277
tabr,M05,13,-0.004101
tabr,M05,42,-0.005358
tabr,M05,2026,-0.003096
tabr,M05,3407,0.004159
tabr,M05,7777,-0.012193
