model,mechanism,strength,mean
tabm,M04,S1,-0.003018
tabm,M04,S2,-0.002397
tabm,M04,S3,-0.002313
tabm,M04,S4,-0.002671
tabm,M04,S5,-0.002084
tabm,M05,S1,-0.002708
tabm,M05,S2,-0.003384
tabm,M05,S3,-0.002761
tabm,M05,S4,-0.002032
tabm,M05,S5,-0.001291
modernnca,M04,S1,-0.004016
modernnca,M04,S2,-0.007721
modernnca,M04,S3,-0.006627
modernnca,M04,S4,-0.004973
modernnca,M04,S5,-0.00254
modernnca,M05,S1,-0.004769
modernnca,M05,S2,-0.005261
modernnca,M05,S3,-0.004514
modernnca,M05,S4,-0.010295
modernnca,M05,S5,-0.011561
tabr,M04,S1,-0.003671
tabr,M04,S2,-0.004258
tabr,M04,S3,-0.004812
tabr,M04,S4,-0.004749
tabr,M04,S5,-0.005274
tabr,M05,S1,-0.003684
tabr,M05,S2,-0.003535
tabr,M05,S3,-0.004364
tabr,M05,S4,-0.004049
tabr,M05,S5,-0.004958
