row_type,scope,learner,budget_fraction,cost_unit,effect,ci_low,ci_high,probability_positive,initial_gap,gap_range,n_keys,n_tasks,p3_recall,p3_legitimate_retention,negative_task_count,negative_mechanism_count,mean_signal_fields_removed,signal_x000_removal_rate,signal_x003_removal_rate,signal_x005_removal_rate,claim_id,claim_status,interpretation
budget,All mechanisms,LR,0.01,encoded column,0.057383,0.04513,0.068385,1.0,,,5500,20,0.4054,0.9758,,,,,,,C1_MULTI_LEARNER_GOVERNANCE,SUPPORTED,P3_ADVANTAGE
budget,All mechanisms,LR,0.05,encoded column,0.059522,0.047047,0.070836,1.0,,,5500,20,0.4104,0.9756,,,,,,,C1_MULTI_LEARNER_GOVERNANCE,SUPPORTED,P3_ADVANTAGE
budget,All mechanisms,LR,0.1,encoded column,0.057245,0.033373,0.077982,1.0,,,5500,20,0.4972,0.946,,,,,,,C1_MULTI_LEARNER_GOVERNANCE,SUPPORTED,P3_ADVANTAGE
budget,All mechanisms,LR,0.2,encoded column,0.043413,0.004153,0.077511,0.9853,,,5500,20,0.6008,0.8513,,,,,,,C1_MULTI_LEARNER_GOVERNANCE,SUPPORTED,P3_ADVANTAGE
learner_overall,All mechanisms,LR,0.2,encoded column,0.043413,0.004153,0.077511,0.9853,,,5500,20,,,,,,,,,C1_MULTI_LEARNER_GOVERNANCE,SUPPORTED,P3_ADVANTAGE
family,simple,LR,0.2,encoded column,0.094131,0.050242,0.133339,1.0,,,,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,P3_ADVANTAGE
family,boundary,LR,0.2,encoded column,0.038928,-0.000435,0.07327,0.9733,,,,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,NO_RELIABLE_ADVANTAGE
family,structured,LR,0.2,encoded column,-0.00394,-0.038503,0.025709,0.4321,,,,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,NO_RELIABLE_ADVANTAGE
mechanism,M01,LR,0.2,encoded column,0.069394,0.018748,0.113898,0.9963,0.17287,,500,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,P3_ADVANTAGE
mechanism,M02,LR,0.2,encoded column,0.086892,0.034797,0.132823,0.9989,0.196254,,500,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,P3_ADVANTAGE
mechanism,M03,LR,0.2,encoded column,-0.056751,-0.097237,-0.021631,0.0,0.003605,,500,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,P3_DISADVANTAGE
