task_variant_id,protocol_version,study_namespace,dataset_namespace,dataset_index,dataset_id,dataset_seed,archetype,base_task_sha256,mechanism,mechanism_family,strength,strength_value,seed,model_ids,expected_model_cells,config_sha256
fdd3c1227773d2e99bae,independent_replication_v1,independent_replication_v1,independent_replication_v1,1000,panel_1000,38179732,linear,5dd81b610b0dda71dc7894707c47b51b38b741525c8fec7b5f589813d852b7c5,M01,simple,S1,0.2,13,lr|rf|catboost|lightgbm|tabm,5,5fc1d35db43059142c6ff736fbbcfbce828dbee92d599546b55c3f4b2b646cef
b4a26e137c558902fa27,independent_replication_v1,independent_replication_v1,independent_replication_v1,1000,panel_1000,38179732,linear,5dd81b610b0dda71dc7894707c47b51b38b741525c8fec7b5f589813d852b7c5,M01,simple,S1,0.2,2026,lr|rf|catboost|lightgbm|tabm,5,5fc1d35db43059142c6ff736fbbcfbce828dbee92d599546b55c3f4b2b646cef
e0710f83708ca79cce73,independent_replication_v1,independent_replication_v1,independent_replication_v1,1000,panel_1000,38179732,linear,5dd81b610b0dda71dc7894707c47b51b38b741525c8fec7b5f589813d852b7c5,M01,simple,S1,0.2,7777,lr|rf|catboost|lightgbm|tabm,5,5fc1d35db43059142c6ff736fbbcfbce828dbee92d599546b55c3f4b2b646cef
2e92f16d0337b28fc7c9,independent_replication_v1,independent_replication_v1,independent_replication_v1,1000,panel_1000,38179732,linear,5dd81b610b0dda71dc7894707c47b51b38b741525c8fec7b5f589813d852b7c5,M01,simple,S2,0.4,13,lr|rf|catboost|lightgbm|tabm,5,5fc1d35db43059142c6ff736fbbcfbce828dbee92d599546b55c3f4b2b646cef
716c31968bfe39c21343,independent_replication_v1,independent_replication_v1,independent_replication_v1,1000,panel_1000,38179732,linear,5dd81b610b0dda71dc7894707c47b51b38b741525c8fec7b5f589813d852b7c5,M01,simple,S2,0.4,2026,lr|rf|catboost|lightgbm|tabm,5,5fc1d35db43059142c6ff736fbbcfbce828dbee92d599546b55c3f4b2b646cef
0a59fa4f4cb0111e8fb8,independent_replication_v1,independent_replication_v1,independent_replication_v1,1000,panel_1000,38179732,linear,5dd81b610b0dda71dc7894707c47b51b38b741525c8fec7b5f589813d852b7c5,M01,simple,S2,0.4,7777,lr|rf|catboost|lightgbm|tabm,5,5fc1d35db43059142c6ff736fbbcfbce828dbee92d599546b55c3f4b2b646cef
b6f0eb55870a77049e9a,independent_replication_v1,independent_replication_v1,independent_replication_v1,1000,panel_1000,38179732,linear,5dd81b610b0dda71dc7894707c47b51b38b741525c8fec7b5f589813d852b7c5,M01,simple,S3,0.6,13,lr|rf|catboost|lightgbm|tabm,5,5fc1d35db43059142c6ff736fbbcfbce828dbee92d599546b55c3f4b2b646cef
6bde161b17dedc3126d4,independent_replication_v1,independent_replication_v1,independent_replication_v1,1000,panel_1000,38179732,linear,5dd81b610b0dda71dc7894707c47b51b38b741525c8fec7b5f589813d852b7c5,M01,simple,S3,0.6,2026,lr|rf|catboost|lightgbm|tabm,5,5fc1d35db43059142c6ff736fbbcfbce828dbee92d599546b55c3f4b2b646cef
07e3071de554ff405172,independent_replication_v1,independent_replication_v1,independent_replication_v1,1000,panel_1000,38179732,linear,5dd81b610b0dda71dc7894707c47b51b38b741525c8fec7b5f589813d852b7c5,M01,simple,S3,0.6,7777,lr|rf|catboost|lightgbm|tabm,5,5fc1d35db43059142c6ff736fbbcfbce828dbee92d599546b55c3f4b2b646cef
51f8bd6327913f1569ff,independent_replication_v1,independent_replication_v1,independent_replication_v1,1000,panel_1000,38179732,linear,5dd81b610b0dda71dc7894707c47b51b38b741525c8fec7b5f589813d852b7c5,M01,simple,S4,0.8,13,lr|rf|catboost|lightgbm|tabm,5,5fc1d35db43059142c6ff736fbbcfbce828dbee92d599546b55c3f4b2b646cef
9ef957e5c95d9fb3fa5b,independent_replication_v1,independent_replication_v1,independent_replication_v1,1000,panel_1000,38179732,linear,5dd81b610b0dda71dc7894707c47b51b38b741525c8fec7b5f589813d852b7c5,M01,simple,S4,0.8,2026,lr|rf|catboost|lightgbm|tabm,5,5fc1d35db43059142c6ff736fbbcfbce828dbee92d599546b55c3f4b2b646cef
7af022ae0a871ac56d01,independent_replication_v1,independent_replication_v1,independent_replication_v1,1000,panel_1000,38179732,linear,5dd81b610b0dda71dc7894707c47b51b38b741525c8fec7b5f589813d852b7c5,M01,simple,S4,0.8,7777,lr|rf|catboost|lightgbm|tabm,5,5fc1d35db43059142c6ff736fbbcfbce828dbee92d599546b55c3f4b2b646cef
ab4c7c317590e5bbc1a7,independent_replication_v1,independent_replication_v1,independent_replication_v1,1000,panel_1000,38179732,linear,5dd81b610b0dda71dc7894707c47b51b38b741525c8fec7b5f589813d852b7c5,M01,simple,S5,1.0,13,lr|rf|catboost|lightgbm|tabm,5,5fc1d35db43059142c6ff736fbbcfbce828dbee92d599546b55c3f4b2b646cef
b402c94439900e6e0c53,independent_replication_v1,independent_replication_v1,independent_replication_v1,1000,panel_1000,38179732,linear,5dd81b610b0dda71dc7894707c47b51b38b741525c8fec7b5f589813d852b7c5,M01,simple,S5,1.0,2026,lr|rf|catboost|lightgbm|tabm,5,5fc1d35db43059142c6ff736fbbcfbce828dbee92d599546b55c3f4b2b646cef
226ef1dd1ab912b8d34e,independent_replication_v1,independent_replication_v1,independent_replication_v1,1000,panel_1000,38179732,linear,5dd81b610b0dda71dc7894707c47b51b38b741525c8fec7b5f589813d852b7c5,M01,simple,S5,1.0,7777,lr|rf|catboost|lightgbm|tabm,5,5fc1d35db43059142c6ff736fbbcfbce828dbee92d599546b55c3f4b2b646cef
ddd7fbc05b65201bd0b7,independent_replication_v1,independent_replication_v1,independent_replication_v1,1000,panel_1000,38179732,linear,5dd81b610b0dda71dc7894707c47b51b38b741525c8fec7b5f589813d852b7c5,M02,simple,S1,0.2,13,lr|rf|catboost|lightgbm|tabm,5,5fc1d35db43059142c6ff736fbbcfbce828dbee92d599546b55c3f4b2b646cef
790f719210703c4684fe,independent_replication_v1,independent_replication_v1,independent_replication_v1,1000,panel_1000,38179732,linear,5dd81b610b0dda71dc7894707c47b51b38b741525c8fec7b5f589813d852b7c5,M02,simple,S1,0.2,2026,lr|rf|catboost|lightgbm|tabm,5,5fc1d35db43059142c6ff736fbbcfbce828dbee92d599546b55c3f4b2b646cef
6e392f05c83ed402891b,independent_replication_v1,independent_replication_v1,independent_replication_v1,1000,panel_1000,38179732,linear,5dd81b610b0dda71dc7894707c47b51b38b741525c8fec7b5f589813d852b7c5,M02,simple,S1,0.2,7777,lr|rf|catboost|lightgbm|tabm,5,5fc1d35db43059142c6ff736fbbcfbce828dbee92d599546b55c3f4b2b646cef
454aac5c0ba0829475e5,independent_replication_v1,independent_replication_v1,independent_replication_v1,1000,panel_1000,38179732,linear,5dd81b610b0dda71dc7894707c47b51b38b741525c8fec7b5f589813d852b7c5,M02,simple,S2,0.4,13,lr|rf|catboost|lightgbm|tabm,5,5fc1d35db43059142c6ff736fbbcfbce828dbee92d599546b55c3f4b2b646cef
