task,model,seed,status,failure_reason,n_samples,n_features,n_leak,diagnostic_ap,diagnostic_normalized_ap,top5_recall,mrr,source_sha256,preprocessing_protocol,preprocessing_mapping_sha256,strict_auc,permissive_auc,paired_harm,implementation,strict_runtime_sec,permissive_runtime_sec
BankMarketing,lr,13,SUCCESS,,41188,20,1,1.0,1.0,1.0,1.0,74adfc578bf77a7ff4bb1ba4a9f8709d9e3c6907342959c2c8416847e0afb4d8,natural_trainfit_categories_v2,cd7cbb94ce50f432037b0d0c67ba800925818db41c25322d2332f49c1b234d65,0.4265873783590319,0.5213987225798249,0.09481134422079301,sklearn.StandardScaler+LogisticRegression,0.05718493461608887,0.08207392692565918
BankMarketing,lr,42,SUCCESS,,41188,20,1,1.0,1.0,1.0,1.0,74adfc578bf77a7ff4bb1ba4a9f8709d9e3c6907342959c2c8416847e0afb4d8,natural_trainfit_categories_v2,cd7cbb94ce50f432037b0d0c67ba800925818db41c25322d2332f49c1b234d65,0.4265873783590319,0.5213987225798249,0.09481134422079301,sklearn.StandardScaler+LogisticRegression,0.051001787185668945,0.0722038745880127
BankMarketing,lr,2026,SUCCESS,,41188,20,1,1.0,1.0,1.0,1.0,74adfc578bf77a7ff4bb1ba4a9f8709d9e3c6907342959c2c8416847e0afb4d8,natural_trainfit_categories_v2,cd7cbb94ce50f432037b0d0c67ba800925818db41c25322d2332f49c1b234d65,0.4265873783590319,0.5213987225798249,0.09481134422079301,sklearn.StandardScaler+LogisticRegression,0.09136176109313965,0.0848701000213623
BankMarketing,rf,13,SUCCESS,,41188,20,1,1.0,1.0,1.0,1.0,74adfc578bf77a7ff4bb1ba4a9f8709d9e3c6907342959c2c8416847e0afb4d8,natural_trainfit_categories_v2,cd7cbb94ce50f432037b0d0c67ba800925818db41c25322d2332f49c1b234d65,0.6470384345384346,0.754698257158887,0.10765982262045248,sklearn.RandomForestClassifier,2.3270671367645264,2.14228892326355
BankMarketing,rf,42,SUCCESS,,41188,20,1,1.0,1.0,1.0,1.0,74adfc578bf77a7ff4bb1ba4a9f8709d9e3c6907342959c2c8416847e0afb4d8,natural_trainfit_categories_v2,cd7cbb94ce50f432037b0d0c67ba800925818db41c25322d2332f49c1b234d65,0.6636987905688693,0.7524871967785355,0.08878840620966622,sklearn.RandomForestClassifier,2.096721887588501,2.1826651096343994
BankMarketing,rf,2026,SUCCESS,,41188,20,1,1.0,1.0,1.0,1.0,74adfc578bf77a7ff4bb1ba4a9f8709d9e3c6907342959c2c8416847e0afb4d8,natural_trainfit_categories_v2,cd7cbb94ce50f432037b0d0c67ba800925818db41c25322d2332f49c1b234d65,0.6479937358874367,0.7859961915080025,0.1380024556205658,sklearn.RandomForestClassifier,2.212678909301758,2.1696300506591797
BankMarketing,catboost,13,SUCCESS,,41188,20,1,1.0,1.0,1.0,1.0,74adfc578bf77a7ff4bb1ba4a9f8709d9e3c6907342959c2c8416847e0afb4d8,natural_trainfit_categories_v2,cd7cbb94ce50f432037b0d0c67ba800925818db41c25322d2332f49c1b234d65,0.6107233716485685,0.7725628622282166,0.16183949057964808,catboost.CatBoostClassifier,0.8217480182647705,0.2824740409851074
BankMarketing,catboost,42,SUCCESS,,41188,20,1,1.0,1.0,1.0,1.0,74adfc578bf77a7ff4bb1ba4a9f8709d9e3c6907342959c2c8416847e0afb4d8,natural_trainfit_categories_v2,cd7cbb94ce50f432037b0d0c67ba800925818db41c25322d2332f49c1b234d65,0.665605005762486,0.767466171304754,0.10186116554226798,catboost.CatBoostClassifier,0.27768421173095703,0.3486342430114746
BankMarketing,catboost,2026,SUCCESS,,41188,20,1,1.0,1.0,1.0,1.0,74adfc578bf77a7ff4bb1ba4a9f8709d9e3c6907342959c2c8416847e0afb4d8,natural_trainfit_categories_v2,cd7cbb94ce50f432037b0d0c67ba800925818db41c25322d2332f49c1b234d65,0.6273034052561611,0.7179176351420447,0.09061422988588352,catboost.CatBoostClassifier,0.322268009185791,0.33742809295654297
BankMarketing,lightgbm,13,SUCCESS,,41188,20,1,1.0,1.0,1.0,1.0,74adfc578bf77a7ff4bb1ba4a9f8709d9e3c6907342959c2c8416847e0afb4d8,natural_trainfit_categories_v2,cd7cbb94ce50f432037b0d0c67ba800925818db41c25322d2332f49c1b234d65,0.455262241482714,0.6539084372745789,0.19864619579186493,lightgbm.LGBMClassifier,0.7073712348937988,0.06273722648620605
BankMarketing,lightgbm,42,SUCCESS,,41188,20,1,1.0,1.0,1.0,1.0,74adfc578bf77a7ff4bb1ba4a9f8709d9e3c6907342959c2c8416847e0afb4d8,natural_trainfit_categories_v2,cd7cbb94ce50f432037b0d0c67ba800925818db41c25322d2332f49c1b234d65,0.455262241482714,0.6539084372745789,0.19864619579186493,lightgbm.LGBMClassifier,0.052451133728027344,0.06470179557800293
BankMarketing,lightgbm,2026,SUCCESS,,41188,20,1,1.0,1.0,1.0,1.0,74adfc578bf77a7ff4bb1ba4a9f8709d9e3c6907342959c2c8416847e0afb4d8,natural_trainfit_categories_v2,cd7cbb94ce50f432037b0d0c67ba800925818db41c25322d2332f49c1b234d65,0.455262241482714,0.6539084372745789,0.19864619579186493,lightgbm.LGBMClassifier,0.05491518974304199,0.09118199348449707
LendingClub,lr,13,SUCCESS,,50000,140,29,0.6609943608318966,0.5724253199681578,0.1724137931034483,1.0,55c16f75120f897683f02e7aabcf080d0e4a20c4832feb1d592cfa941bd62a2d,natural_trainfit_categories_v2,3855ab103df8e836e8476a949c3b01330ab8527999f1611cf6ddd40e6af548a8,0.6370819883010854,0.9968346758235526,0.35975268752246714,sklearn.StandardScaler+LogisticRegression,0.49817800521850586,0.38909006118774414
LendingClub,lr,42,SUCCESS,,50000,140,29,0.6609943608318966,0.5724253199681578,0.1724137931034483,1.0,55c16f75120f897683f02e7aabcf080d0e4a20c4832feb1d592cfa941bd62a2d,natural_trainfit_categories_v2,3855ab103df8e836e8476a949c3b01330ab8527999f1611cf6ddd40e6af548a8,0.6370819883010854,0.9968346758235526,0.35975268752246714,sklearn.StandardScaler+LogisticRegression,0.6524739265441895,0.5285871028900146
LendingClub,lr,2026,SUCCESS,,50000,140,29,0.6609943608318966,0.5724253199681578,0.1724137931034483,1.0,55c16f75120f897683f02e7aabcf080d0e4a20c4832feb1d592cfa941bd62a2d,natural_trainfit_categories_v2,3855ab103df8e836e8476a949c3b01330ab8527999f1611cf6ddd40e6af548a8,0.6370819883010854,0.9968346758235526,0.35975268752246714,sklearn.StandardScaler+LogisticRegression,0.4898109436035156,0.39746594429016113
LendingClub,rf,13,SUCCESS,,50000,140,29,0.6609943608318966,0.5724253199681578,0.1724137931034483,1.0,55c16f75120f897683f02e7aabcf080d0e4a20c4832feb1d592cfa941bd62a2d,natural_trainfit_categories_v2,3855ab103df8e836e8476a949c3b01330ab8527999f1611cf6ddd40e6af548a8,0.6907287129020816,0.9995380735090901,0.3088093606070085,sklearn.RandomForestClassifier,15.738142013549805,12.280343055725098
LendingClub,rf,42,SUCCESS,,50000,140,29,0.6609943608318966,0.5724253199681578,0.1724137931034483,1.0,55c16f75120f897683f02e7aabcf080d0e4a20c4832feb1d592cfa941bd62a2d,natural_trainfit_categories_v2,3855ab103df8e836e8476a949c3b01330ab8527999f1611cf6ddd40e6af548a8,0.6889156981537294,0.9994554575761327,0.3105397594224033,sklearn.RandomForestClassifier,15.454501867294312,12.207678079605103
LendingClub,rf,2026,SUCCESS,,50000,140,29,0.6609943608318966,0.5724253199681578,0.1724137931034483,1.0,55c16f75120f897683f02e7aabcf080d0e4a20c4832feb1d592cfa941bd62a2d,natural_trainfit_categories_v2,3855ab103df8e836e8476a949c3b01330ab8527999f1611cf6ddd40e6af548a8,0.6896299334546729,0.9997027820161537,0.31007284856148076,sklearn.RandomForestClassifier,15.718403100967407,12.49103307723999
LendingClub,catboost,13,SUCCESS,,50000,140,29,0.6609943608318966,0.5724253199681578,0.1724137931034483,1.0,55c16f75120f897683f02e7aabcf080d0e4a20c4832feb1d592cfa941bd62a2d,natural_trainfit_categories_v2,3855ab103df8e836e8476a949c3b01330ab8527999f1611cf6ddd40e6af548a8,0.6965329120942549,0.9998250486125607,0.3032921365183058,catboost.CatBoostClassifier,2.6917378902435303,4.484395742416382
