mechanism,category,diagnostic_normalized_ap,diagnostic_normalized_ap_ci_low,diagnostic_normalized_ap_ci_high,top5_recall,top5_recall_ci_low,top5_recall_ci_high
M01,simple,0.8437658396464646,0.8172365508958636,0.8703505812590188,0.9080000000000001,0.8800000000000001,0.9359999999999999
M02,simple,0.9177541203703703,0.8949557314814816,0.9404654976851851,0.972,0.952,0.9880000000000002
M03,boundary,0.07927277370791688,0.04519435933365415,0.12792344363330377,0.18600000000000003,0.094,0.296
M04,structured,0.08050039035354048,0.06312069463953586,0.0999872855581309,0.19399999999999998,0.14000000000000004,0.25200000000000006
M05,structured,0.08360565683649852,0.05883619862807077,0.11620328993402423,0.18,0.124,0.24000000000000005
M06,simple,0.997875,0.9925625,1.0,0.8916666666666663,0.891666666666666,0.891666666666666
M07,boundary,0.8126824520387019,0.7789652787663724,0.8481870466524215,0.8760000000000001,0.8380000000000003,0.9140000000000003
M08,structured,0.3561020195070524,0.26211633570413506,0.45611791345149727,0.61,0.49800000000000005,0.7160000000000001
M09,structured,0.5414811065748634,0.5002817541835235,0.5841973523801262,0.4542499999999999,0.43,0.4789999999999999
M10,simple,0.9440187519931049,0.9220468344753285,0.9655468325576385,0.996,0.9879999999999999,1.0
M11,boundary,0.8293986644632133,0.807235896980134,0.8515860447564274,0.7679999999999998,0.7494999999999999,0.7860000000000001
