mechanism,category,paired_harm,paired_harm_ci_low,paired_harm_ci_high,diagnostic_normalized_ap,sign_flip_p,holm_p
M01,simple,0.1802286270420869,0.1643312289558528,0.1963237662184874,0.8437658396464647,9.99990000099999e-06,0.0001099989000109999
M02,simple,0.2036837822535385,0.18555980247060533,0.22190773754404647,0.9177541203703704,1.999980000199998e-05,0.0001099989000109999
M03,boundary,0.21746043023151657,0.20115265957446782,0.2343685834954036,0.07927277370791688,9.99990000099999e-06,0.0001099989000109999
M04,structured,-0.0012494695972672042,-0.003504776191017761,0.0008101618350637715,0.0805003903535405,0.2059979400205998,0.5370246297537025
M05,structured,-0.001205636084117859,-0.0033074903365020035,0.0006478701049588594,0.08360565683649854,0.1790082099179008,0.5370246297537025
M06,simple,0.2837472164365661,0.26130906023987505,0.30612302575562966,0.997875,9.99990000099999e-06,0.0001099989000109999
M07,boundary,0.12372618182026597,0.11428951219752216,0.1329771043192655,0.812682452038702,9.99990000099999e-06,0.0001099989000109999
M08,structured,0.003304207170727691,-0.0022998672597036767,0.008515995683399348,0.3561020195070524,0.23049769502304976,0.5370246297537025
M09,structured,0.23506295291218185,0.21588568568933347,0.2544536051810691,0.5414811065748634,9.99990000099999e-06,0.0001099989000109999
M10,simple,0.22556820487598264,0.20607983804307914,0.24501745611449868,0.9440187519931049,9.99990000099999e-06,0.0001099989000109999
M11,boundary,0.2863420968630607,0.26324411862384267,0.30929367053604867,0.8293986644632133,9.99990000099999e-06,0.0001099989000109999
