mechanism,category,standardized_strength_slope,ci_low,ci_high,bootstrap_two_sided_p,holm_p,positive_adjacent_steps,total_adjacent_steps,harm_S1,harm_S2,harm_S3,harm_S4,harm_S5
M01,simple,0.11195941192891858,0.10466386890129649,0.11893485507453765,0.0,0.0,4,4,0.026335255952352653,0.09401840108215762,0.17845925740280602,0.2662989346334099,0.33603128613970834
M02,simple,0.09299708531547496,0.0866241997820531,0.09910578640371588,0.0,0.0,4,4,0.04942245567291466,0.1471726438129042,0.2290746344255226,0.28189210298240625,0.3108570743739448
M03,boundary,0.047770457719882996,0.044504984283355885,0.051012501373421656,0.0,0.0,4,4,0.10718946547530858,0.2177896417879161,0.24951004465937454,0.25566927979028875,0.2571437194446949
M04,structured,-0.00019338816464102354,-0.0007662013412012411,0.00037704061890960324,0.503,0.8076,2,4,-0.0009950969107541876,-0.0009128767937722954,-0.0012826950265119657,-0.0018428270691255905,-0.0012138521861719813
M05,structured,0.00025599431118679546,-0.0003493333616475664,0.0008454670658925053,0.4038,0.8076,3,4,-0.0011805061203526792,-0.002052309733060927,-0.0010287048915129384,-0.0009301505114128363,-0.0008365091642499129
M06,simple,0.0669362561702022,0.0628637738113357,0.07076372788506244,0.0,0.0,4,4,0.12271072578658396,0.28920815627821456,0.3348599871581959,0.3359740116163902,0.33598320134344545
M07,boundary,0.08692185759183707,0.08050165899089126,0.09304706398258719,0.0,0.0,4,4,0.01011958751595538,0.051111558125526625,0.11900228708932417,0.19081387021841653,0.2475836061521073
M08,structured,0.004009228996245549,0.0019347187073643754,0.00616410708423901,0.0003,0.0009,4,4,-0.003082061542216707,0.00028568446096524923,0.004832257442792647,0.006499219501913079,0.007985935990184191
M09,structured,0.08476961542429615,0.0795399903591014,0.08989514793155619,0.0,0.0,4,4,0.07440618662344013,0.19997535587631968,0.27349070823365773,0.3066855994808276,0.320756914346664
M10,simple,0.09099928138064703,0.08492114969858362,0.09684385530383423,0.0,0.0,4,4,0.06484372514262576,0.17727016134743676,0.25891553036901566,0.30320351393539946,0.32360809358543563
M11,boundary,0.06143361975201335,0.056242183674204825,0.06694309349142581,0.0,0.0,4,4,0.1448185812920013,0.283674592372349,0.33141550658934704,0.33589056197201644,0.3359112420895899
