policy,archetype,metric,effect,n_keys,n_tasks
P3,drifting,delta_legacy_sdr,"+0.038 [-0.080, +0.100]",1100,4
P3,drifting,delta_directional_repair,"+0.093 [+0.058, +0.112]",1100,4
P3,drifting,delta_overcorrection,"+0.055 [+0.010, +0.137]",1100,4
P3,interaction,delta_legacy_sdr,"+0.089 [+0.069, +0.109]",1100,4
P3,interaction,delta_directional_repair,"+0.108 [+0.103, +0.114]",1100,4
P3,interaction,delta_overcorrection,"+0.019 [+0.002, +0.037]",1100,4
P3,linear,delta_legacy_sdr,"+0.023 [-0.143, +0.115]",1100,4
P3,linear,delta_directional_repair,"+0.094 [+0.044, +0.134]",1100,4
P3,linear,delta_overcorrection,"+0.071 [+0.003, +0.188]",1100,4
P3,nonlinear,delta_legacy_sdr,"+0.048 [-0.077, +0.133]",1100,4
P3,nonlinear,delta_directional_repair,"+0.102 [+0.062, +0.141]",1100,4
P3,nonlinear,delta_overcorrection,"+0.054 [+0.002, +0.145]",1100,4
P3,sparse,delta_legacy_sdr,"+0.016 [-0.070, +0.067]",1100,4
P3,sparse,delta_directional_repair,"+0.077 [+0.047, +0.106]",1100,4
P3,sparse,delta_overcorrection,"+0.061 [+0.022, +0.116]",1100,4
P4,drifting,delta_legacy_sdr,"+0.012 [-0.087, +0.079]",1100,4
P4,drifting,delta_directional_repair,"+0.087 [+0.055, +0.106]",1100,4
P4,drifting,delta_overcorrection,"+0.074 [+0.027, +0.142]",1100,4
P4,interaction,delta_legacy_sdr,"+0.057 [+0.045, +0.066]",1100,4
P4,interaction,delta_directional_repair,"+0.104 [+0.099, +0.109]",1100,4
P4,interaction,delta_overcorrection,"+0.047 [+0.033, +0.061]",1100,4
P4,linear,delta_legacy_sdr,"-0.026 [-0.174, +0.085]",1100,4
P4,linear,delta_directional_repair,"+0.086 [+0.039, +0.129]",1100,4
P4,linear,delta_overcorrection,"+0.112 [+0.045, +0.211]",1100,4
P4,nonlinear,delta_legacy_sdr,"+0.035 [-0.084, +0.134]",1100,4
P4,nonlinear,delta_directional_repair,"+0.094 [+0.055, +0.133]",1100,4
P4,nonlinear,delta_overcorrection,"+0.058 [-0.001, +0.150]",1100,4
P4,sparse,delta_legacy_sdr,"-0.016 [-0.084, +0.053]",1100,4
P4,sparse,delta_directional_repair,"+0.072 [+0.042, +0.102]",1100,4
P4,sparse,delta_overcorrection,"+0.087 [+0.049, +0.125]",1100,4
P5,drifting,delta_legacy_sdr,"+0.016 [-0.086, +0.080]",1100,4
P5,drifting,delta_directional_repair,"+0.086 [+0.055, +0.106]",1100,4
P5,drifting,delta_overcorrection,"+0.069 [+0.025, +0.141]",1100,4
P5,interaction,delta_legacy_sdr,"+0.062 [+0.054, +0.070]",1100,4
P5,interaction,delta_directional_repair,"+0.103 [+0.098, +0.108]",1100,4
P5,interaction,delta_overcorrection,"+0.041 [+0.031, +0.052]",1100,4
P5,linear,delta_legacy_sdr,"-0.009 [-0.145, +0.094]",1100,4
P5,linear,delta_directional_repair,"+0.087 [+0.043, +0.129]",1100,4
P5,linear,delta_overcorrection,"+0.095 [+0.035, +0.185]",1100,4
P5,nonlinear,delta_legacy_sdr,"+0.035 [-0.077, +0.129]",1100,4
P5,nonlinear,delta_directional_repair,"+0.096 [+0.056, +0.137]",1100,4
P5,nonlinear,delta_overcorrection,"+0.060 [+0.008, +0.144]",1100,4
P5,sparse,delta_legacy_sdr,"-0.009 [-0.081, +0.063]",1100,4
P5,sparse,delta_directional_repair,"+0.073 [+0.041, +0.105]",1100,4
P5,sparse,delta_overcorrection,"+0.081 [+0.041, +0.125]",1100,4
P6,drifting,delta_legacy_sdr,"+0.033 [-0.072, +0.093]",1100,4
P6,drifting,delta_directional_repair,"+0.090 [+0.055, +0.110]",1100,4
P6,drifting,delta_overcorrection,"+0.057 [+0.018, +0.126]",1100,4
P6,interaction,delta_legacy_sdr,"+0.072 [+0.068, +0.075]",1100,4
P6,interaction,delta_directional_repair,"+0.105 [+0.101, +0.108]",1100,4
P6,interaction,delta_overcorrection,"+0.032 [+0.026, +0.039]",1100,4
P6,linear,delta_legacy_sdr,"+0.003 [-0.125, +0.106]",1100,4
P6,linear,delta_directional_repair,"+0.088 [+0.041, +0.133]",1100,4
P6,linear,delta_overcorrection,"+0.085 [+0.026, +0.166]",1100,4
P6,nonlinear,delta_legacy_sdr,"+0.039 [-0.060, +0.120]",1100,4
P6,nonlinear,delta_directional_repair,"+0.095 [+0.057, +0.133]",1100,4
P6,nonlinear,delta_overcorrection,"+0.055 [+0.014, +0.126]",1100,4
P6,sparse,delta_legacy_sdr,"+0.012 [-0.055, +0.077]",1100,4
P6,sparse,delta_directional_repair,"+0.076 [+0.044, +0.109]",1100,4
P6,sparse,delta_overcorrection,"+0.064 [+0.031, +0.107]",1100,4
