mech,str,auprc_i,auprc_op,auprc_shuf,delta,invariant
M04,0.5,0.2,0.2,0.2,0.0,True
M04,1.0,0.2,0.1,0.1,-0.1,True
M05,0.5,0.07692307692307693,0.2,0.2,0.12307692307692308,True
M05,1.0,0.07692307692307693,0.2,0.2,0.12307692307692308,True
M06,0.5,1.0,1.0,1.0,0.0,True
M06,1.0,1.0,1.0,1.0,0.0,True
M07,0.5,0.3214285714285714,0.6428571428571428,0.6428571428571428,0.3214285714285714,True
M07,1.0,0.3214285714285714,0.6428571428571428,0.6428571428571428,0.3214285714285714,True
M08,0.5,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,True
M08,1.0,0.07692307692307693,0.1,0.1,0.023076923076923078,True
M09,0.5,0.25,0.25,0.25,0.0,True
M09,1.0,0.25,0.25,0.25,0.0,True
M04,0.5,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,True
M04,1.0,0.1111111111111111,0.1,0.1,-0.0111111111111111,True
M05,0.5,0.07692307692307693,0.1111111111111111,0.1111111111111111,0.03418803418803418,True
M05,1.0,0.07692307692307693,0.125,0.125,0.04807692307692307,True
M06,0.5,1.0,1.0,1.0,0.0,True
M06,1.0,1.0,1.0,1.0,0.0,True
M07,0.5,0.23809523809523808,0.2777777777777778,0.3611111111111111,0.03968253968253971,False
M07,1.0,0.23809523809523808,0.2777777777777778,0.3611111111111111,0.03968253968253971,False
M08,0.5,0.07692307692307693,0.08333333333333333,0.08333333333333333,0.006410256410256401,True
M08,1.0,0.07692307692307693,0.09090909090909091,0.09090909090909091,0.013986013986013984,True
M09,0.5,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,True
M09,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,True
M04,0.5,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,True
M04,1.0,0.1,0.1,0.1,0.0,True
M05,0.5,0.07692307692307693,0.1,0.1,0.023076923076923078,True
M05,1.0,0.09090909090909091,0.1,0.1,0.009090909090909094,True
M06,0.5,1.0,1.0,1.0,0.0,True
M06,1.0,1.0,1.0,1.0,0.0,True
M07,0.5,0.3333333333333333,0.45,0.41666666666666663,0.1166666666666667,False
M07,1.0,0.3333333333333333,0.45,0.41666666666666663,0.1166666666666667,False
M08,0.5,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,True
M08,1.0,0.07692307692307693,0.08333333333333333,0.08333333333333333,0.006410256410256401,True
M09,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,True
M09,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,True
M04,0.5,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,True
M04,1.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,True
M05,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,True
M05,1.0,0.16666666666666666,0.2,0.2,0.033333333333333354,True
M06,0.5,1.0,1.0,1.0,0.0,True
M06,1.0,1.0,1.0,1.0,0.0,True
M07,0.5,0.325,0.41666666666666663,0.41666666666666663,0.09166666666666662,True
M07,1.0,0.325,0.41666666666666663,0.41666666666666663,0.09166666666666662,True
M08,0.5,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,True
M08,1.0,0.07692307692307693,0.09090909090909091,0.09090909090909091,0.013986013986013984,True
M09,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,True
M09,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,True
M04,0.5,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,True
M04,1.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,True
M05,0.5,0.125,0.3333333333333333,0.3333333333333333,0.20833333333333331,True
M05,1.0,0.07692307692307693,0.3333333333333333,0.3333333333333333,0.2564102564102564,True
M06,0.5,1.0,1.0,1.0,0.0,True
M06,1.0,1.0,1.0,1.0,0.0,True
M07,0.5,0.23809523809523808,0.3666666666666667,0.41666666666666663,0.12857142857142861,False
M07,1.0,0.23809523809523808,0.3666666666666667,0.41666666666666663,0.12857142857142861,False
M08,0.5,0.16666666666666666,0.14285714285714285,0.14285714285714285,-0.023809523809523808,True
M08,1.0,0.07692307692307693,0.08333333333333333,0.08333333333333333,0.006410256410256401,True
M09,0.5,0.3333333333333333,0.25,0.25,-0.08333333333333331,True
M09,1.0,0.25,0.25,0.25,0.0,True
M04,0.5,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,True
M04,1.0,0.25,0.2,0.2,-0.04999999999999999,True
M05,0.5,0.07692307692307693,0.1,0.1,0.023076923076923078,True
M05,1.0,0.07692307692307693,0.1,0.1,0.023076923076923078,True
M06,0.5,1.0,1.0,1.0,0.0,True
M06,1.0,1.0,1.0,1.0,0.0,True
M07,0.5,0.23809523809523808,0.30952380952380953,0.41666666666666663,0.07142857142857145,False
M07,1.0,0.23809523809523808,0.30952380952380953,0.41666666666666663,0.07142857142857145,False
M08,0.5,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,True
M08,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,True
M09,0.5,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,True
M09,1.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,True
