ds,mech,str,method,auprc,top5_recall
ds_0,M04,0.5,I,0.06666666666666667,0.0
ds_0,M04,0.5,P_RAW,0.06666666666666667,0.0
ds_0,M04,0.5,P_DERIVED,0.1,0.0
ds_0,M04,0.5,I_P_RAW,0.06666666666666667,0.0
ds_0,M04,0.5,I_P_DERIVED,0.09090909090909091,0.0
ds_0,M04,0.5,I_P_RAW_P_DERIVED,0.06666666666666667,0.0
ds_0,M04,1.0,I,0.25,1.0
ds_0,M04,1.0,P_RAW,0.06666666666666667,0.0
ds_0,M04,1.0,P_DERIVED,0.09090909090909091,0.0
ds_0,M04,1.0,I_P_RAW,0.06666666666666667,0.0
ds_0,M04,1.0,I_P_DERIVED,0.2,1.0
ds_0,M04,1.0,I_P_RAW_P_DERIVED,0.06666666666666667,0.0
ds_0,M05,0.5,I,0.06666666666666667,0.0
ds_0,M05,0.5,P_RAW,0.06666666666666667,0.0
ds_0,M05,0.5,P_DERIVED,0.1111111111111111,0.0
ds_0,M05,0.5,I_P_RAW,0.06666666666666667,0.0
ds_0,M05,0.5,I_P_DERIVED,0.1,0.0
ds_0,M05,0.5,I_P_RAW_P_DERIVED,0.06666666666666667,0.0
ds_0,M05,1.0,I,0.06666666666666667,0.0
ds_0,M05,1.0,P_RAW,0.06666666666666667,0.0
ds_0,M05,1.0,P_DERIVED,0.1111111111111111,0.0
ds_0,M05,1.0,I_P_RAW,0.06666666666666667,0.0
ds_0,M05,1.0,I_P_DERIVED,0.1,0.0
ds_0,M05,1.0,I_P_RAW_P_DERIVED,0.06666666666666667,0.0
ds_0,M06,0.5,I,1.0,1.0
ds_0,M06,0.5,P_RAW,0.1227124183006536,0.0
ds_0,M06,0.5,P_DERIVED,1.0,1.0
ds_0,M06,0.5,I_P_RAW,1.0,1.0
ds_0,M06,0.5,I_P_DERIVED,1.0,1.0
ds_0,M06,0.5,I_P_RAW_P_DERIVED,1.0,1.0
ds_0,M06,1.0,I,1.0,1.0
ds_0,M06,1.0,P_RAW,0.1227124183006536,0.0
ds_0,M06,1.0,P_DERIVED,1.0,1.0
ds_0,M06,1.0,I_P_RAW,1.0,1.0
ds_0,M06,1.0,I_P_DERIVED,1.0,1.0
ds_0,M06,1.0,I_P_RAW_P_DERIVED,1.0,1.0
