ds,mech,str,auprc_i,auprc_iase,delta,n_leak
ds_0,M01,S1,1.0,1.0,0.0,1
ds_0,M01,S3,1.0,1.0,0.0,1
ds_0,M01,S5,1.0,1.0,0.0,1
ds_0,M02,S1,1.0,1.0,0.0,1
ds_0,M02,S3,1.0,1.0,0.0,1
ds_0,M02,S5,1.0,1.0,0.0,1
ds_0,M03,S1,1.0,1.0,0.0,1
ds_0,M03,S3,1.0,1.0,0.0,1
ds_0,M03,S5,1.0,1.0,0.0,1
ds_0,M04,S1,0.16666666666666666,0.07692307692307693,-0.08974358974358973,1
ds_0,M04,S3,0.058823529411764705,0.07692307692307693,0.018099547511312222,1
ds_0,M04,S5,0.058823529411764705,0.25,0.19117647058823528,1
ds_0,M05,S1,0.16666666666666666,0.3333333333333333,0.16666666666666666,1
ds_0,M05,S3,0.16666666666666666,0.3333333333333333,0.16666666666666666,1
ds_0,M05,S5,0.25,0.3333333333333333,0.08333333333333331,1
ds_0,M06,S1,1.0,0.75,-0.25,2
ds_0,M06,S3,1.0,1.0,0.0,2
ds_0,M06,S5,1.0,1.0,0.0,2
ds_0,M07,S1,0.3055555555555556,0.7,0.3944444444444444,2
ds_0,M07,S3,0.3055555555555556,0.7,0.3944444444444444,2
ds_0,M07,S5,0.3055555555555556,0.7,0.3944444444444444,2
ds_0,M08,S1,0.1111111111111111,0.16666666666666666,0.05555555555555555,1
ds_0,M08,S3,0.25,0.07142857142857142,-0.17857142857142858,1
ds_0,M08,S5,0.1111111111111111,0.07142857142857142,-0.03968253968253968,1
ds_0,M09,S1,0.058823529411764705,0.058823529411764705,0.0,1
ds_0,M09,S3,0.125,0.09090909090909091,-0.03409090909090909,1
ds_0,M09,S5,0.25,0.3333333333333333,0.08333333333333331,1
ds_0,M10,S1,1.0,1.0,0.0,1
ds_0,M10,S3,1.0,1.0,0.0,1
ds_0,M10,S5,1.0,1.0,0.0,1
ds_0,M11,S1,0.3055555555555556,0.24358974358974358,-0.061965811965811995,2
ds_0,M11,S3,0.8333333333333333,0.8333333333333333,0.0,2
ds_0,M11,S5,1.0,1.0,0.0,2
ds_1,M01,S1,1.0,1.0,0.0,1
ds_1,M01,S3,1.0,1.0,0.0,1
ds_1,M01,S5,1.0,1.0,0.0,1
ds_1,M02,S1,1.0,1.0,0.0,1
ds_1,M02,S3,1.0,1.0,0.0,1
ds_1,M02,S5,1.0,1.0,0.0,1
ds_1,M03,S1,1.0,0.5,-0.5,1
ds_1,M03,S3,1.0,1.0,0.0,1
ds_1,M03,S5,1.0,1.0,0.0,1
ds_1,M04,S1,0.058823529411764705,0.058823529411764705,0.0,1
ds_1,M04,S3,0.058823529411764705,0.125,0.0661764705882353,1
ds_1,M04,S5,0.14285714285714285,0.125,-0.01785714285714285,1
ds_1,M05,S1,0.058823529411764705,0.125,0.0661764705882353,1
ds_1,M05,S3,0.14285714285714285,0.25,0.10714285714285715,1
ds_1,M05,S5,0.3333333333333333,0.3333333333333333,0.0,1
ds_1,M06,S1,1.0,1.0,0.0,2
ds_1,M06,S3,1.0,1.0,0.0,2
ds_1,M06,S5,1.0,1.0,0.0,2
ds_1,M07,S1,0.375,0.5,0.125,2
ds_1,M07,S3,0.375,0.5,0.125,2
ds_1,M07,S5,0.375,0.5,0.125,2
ds_1,M08,S1,0.2,0.07142857142857142,-0.1285714285714286,1
ds_1,M08,S3,0.058823529411764705,0.16666666666666666,0.10784313725490195,1
ds_1,M08,S5,0.25,0.125,-0.125,1
ds_1,M09,S1,0.14285714285714285,0.08333333333333333,-0.05952380952380952,1
ds_1,M09,S3,0.058823529411764705,0.14285714285714285,0.08403361344537814,1
ds_1,M09,S5,0.16666666666666666,0.16666666666666666,0.0,1
ds_1,M10,S1,1.0,1.0,0.0,1
ds_1,M10,S3,1.0,1.0,0.0,1
ds_1,M10,S5,1.0,1.0,0.0,1
ds_1,M11,S1,0.3055555555555556,0.5666666666666667,0.26111111111111107,2
ds_1,M11,S3,0.8333333333333333,0.8333333333333333,0.0,2
ds_1,M11,S5,1.0,0.75,-0.25,2
ds_2,M01,S1,1.0,1.0,0.0,1
ds_2,M01,S3,1.0,1.0,0.0,1
ds_2,M01,S5,1.0,1.0,0.0,1
ds_2,M02,S1,1.0,1.0,0.0,1
ds_2,M02,S3,1.0,1.0,0.0,1
ds_2,M02,S5,1.0,1.0,0.0,1
ds_2,M03,S1,1.0,0.5,-0.5,1
ds_2,M03,S3,1.0,1.0,0.0,1
ds_2,M03,S5,1.0,1.0,0.0,1
ds_2,M04,S1,0.07692307692307693,0.08333333333333333,0.006410256410256401,1
ds_2,M04,S3,0.07692307692307693,0.07692307692307693,0.0,1
ds_2,M04,S5,0.1111111111111111,0.14285714285714285,0.031746031746031744,1
ds_2,M05,S1,0.16666666666666666,0.1111111111111111,-0.05555555555555555,1
ds_2,M05,S3,0.3333333333333333,0.3333333333333333,0.0,1
ds_2,M05,S5,0.07692307692307693,0.2,0.12307692307692308,1
ds_2,M06,S1,1.0,1.0,0.0,2
ds_2,M06,S3,1.0,1.0,0.0,2
ds_2,M06,S5,1.0,1.0,0.0,2
ds_2,M07,S1,0.23809523809523808,0.7,0.4619047619047619,2
ds_2,M07,S3,0.23809523809523808,0.7,0.4619047619047619,2
ds_2,M07,S5,0.23809523809523808,0.7,0.4619047619047619,2
ds_2,M08,S1,0.16666666666666666,0.14285714285714285,-0.023809523809523808,1
ds_2,M08,S3,0.16666666666666666,0.1,-0.06666666666666665,1
ds_2,M08,S5,0.2,0.2,0.0,1
ds_2,M09,S1,0.2,0.1111111111111111,-0.0888888888888889,1
ds_2,M09,S3,0.07692307692307693,0.3333333333333333,0.2564102564102564,1
ds_2,M09,S5,0.25,0.3333333333333333,0.08333333333333331,1
ds_2,M10,S1,1.0,1.0,0.0,1
ds_2,M10,S3,1.0,1.0,0.0,1
ds_2,M10,S5,1.0,1.0,0.0,1
ds_2,M11,S1,0.23809523809523808,0.3611111111111111,0.12301587301587302,2
ds_2,M11,S3,0.8333333333333333,0.8333333333333333,0.0,2
ds_2,M11,S5,1.0,1.0,0.0,2
ds_3,M01,S1,1.0,1.0,0.0,1
ds_3,M01,S3,1.0,1.0,0.0,1
ds_3,M01,S5,1.0,1.0,0.0,1
ds_3,M02,S1,1.0,1.0,0.0,1
ds_3,M02,S3,1.0,1.0,0.0,1
ds_3,M02,S5,1.0,1.0,0.0,1
ds_3,M03,S1,1.0,1.0,0.0,1
ds_3,M03,S3,1.0,1.0,0.0,1
ds_3,M03,S5,1.0,1.0,0.0,1
ds_3,M04,S1,0.058823529411764705,0.058823529411764705,0.0,1
ds_3,M04,S3,0.058823529411764705,0.06666666666666667,0.00784313725490196,1
ds_3,M04,S5,0.058823529411764705,0.09090909090909091,0.03208556149732621,1
ds_3,M05,S1,0.25,0.25,0.0,1
ds_3,M05,S3,0.058823529411764705,0.14285714285714285,0.08403361344537814,1
ds_3,M05,S5,0.07142857142857142,0.08333333333333333,0.011904761904761904,1
ds_3,M06,S1,1.0,1.0,0.0,2
ds_3,M06,S3,1.0,1.0,0.0,2
ds_3,M06,S5,1.0,1.0,0.0,2
ds_3,M07,S1,0.3055555555555556,0.25757575757575757,-0.04797979797979801,2
ds_3,M07,S3,0.3055555555555556,0.25757575757575757,-0.04797979797979801,2
ds_3,M07,S5,0.3055555555555556,0.25757575757575757,-0.04797979797979801,2
ds_3,M08,S1,0.058823529411764705,0.07142857142857142,0.01260504201680672,1
ds_3,M08,S3,0.058823529411764705,0.09090909090909091,0.03208556149732621,1
ds_3,M08,S5,0.058823529411764705,0.1,0.0411764705882353,1
ds_3,M09,S1,0.058823529411764705,0.125,0.0661764705882353,1
ds_3,M09,S3,0.16666666666666666,0.07692307692307693,-0.08974358974358973,1
ds_3,M09,S5,0.25,0.1111111111111111,-0.1388888888888889,1
ds_3,M10,S1,1.0,1.0,0.0,1
ds_3,M10,S3,1.0,1.0,0.0,1
ds_3,M10,S5,1.0,1.0,0.0,1
ds_3,M11,S1,0.26666666666666666,0.5833333333333334,0.3166666666666667,2
ds_3,M11,S3,1.0,1.0,0.0,2
ds_3,M11,S5,1.0,1.0,0.0,2
ds_4,M01,S1,1.0,1.0,0.0,1
ds_4,M01,S3,1.0,1.0,0.0,1
ds_4,M01,S5,1.0,1.0,0.0,1
ds_4,M02,S1,1.0,1.0,0.0,1
ds_4,M02,S3,1.0,1.0,0.0,1
ds_4,M02,S5,1.0,1.0,0.0,1
ds_4,M03,S1,1.0,1.0,0.0,1
ds_4,M03,S3,1.0,1.0,0.0,1
ds_4,M03,S5,1.0,1.0,0.0,1
ds_4,M04,S1,0.07692307692307693,0.1,0.023076923076923078,1
ds_4,M04,S3,0.07692307692307693,0.09090909090909091,0.013986013986013984,1
ds_4,M04,S5,0.16666666666666666,0.16666666666666666,0.0,1
ds_4,M05,S1,0.07692307692307693,0.08333333333333333,0.006410256410256401,1
ds_4,M05,S3,0.16666666666666666,0.25,0.08333333333333334,1
