method,mechanism,category,diagnostic_normalized_ap,ci_low,ci_high
absolute_correlation,M01,simple,0.9457169444444443,0.91823775,0.9713829444444443
absolute_correlation,M02,simple,0.9700333333333333,0.9473277083333334,0.9898888888888889
absolute_correlation,M03,boundary,0.03484147420446095,0.018784295774622022,0.0541025832766688
absolute_correlation,M04,structured,0.038584781164807354,0.02607595054739907,0.05281965487106546
absolute_correlation,M05,structured,0.03661336699601608,0.02476431840418534,0.05021268658263257
absolute_correlation,M06,simple,1.0,1.0,1.0
absolute_correlation,M07,boundary,0.8755533333333331,0.8359100763888888,0.9144849652777777
absolute_correlation,M08,structured,0.647968953627391,0.513003897388202,0.7824228929811508
absolute_correlation,M09,structured,0.7062888707855138,0.6789393443473223,0.7337234666807422
absolute_correlation,M10,simple,0.9742087969546794,0.9511426976944624,0.9930666666666668
absolute_correlation,M11,boundary,0.8884241313803194,0.8725324905171202,0.9037857244964143
lr_coefficient,M01,simple,0.9197243055555552,0.8825595833333334,0.9544625173611111
lr_coefficient,M02,simple,0.968325,0.9444081944444443,0.9897500000000001
lr_coefficient,M03,boundary,0.04482734583697263,0.023096325535458234,0.07204482906362993
lr_coefficient,M04,structured,0.03672225221760907,0.025981701885152468,0.04909324596393402
lr_coefficient,M05,structured,0.03627338708643789,0.024488105465084863,0.04989619412195766
lr_coefficient,M06,simple,0.9989374999999999,0.9957499999999999,1.0
lr_coefficient,M07,boundary,0.9611798611111111,0.9400952430555556,0.9810388888888889
lr_coefficient,M08,structured,0.60155076203767,0.455002823051948,0.7471792377107541
lr_coefficient,M09,structured,0.646257702187215,0.618186730653567,0.6751692130903263
lr_coefficient,M10,simple,0.9873696875673348,0.9726584761904761,0.99896
lr_coefficient,M11,boundary,0.8649270640197239,0.8444913901203316,0.8846587868149078
mutual_information,M01,simple,0.8437658396464642,0.8172365508958636,0.8703505812590188
mutual_information,M02,simple,0.9177541203703699,0.8949557314814816,0.9404654976851851
mutual_information,M03,boundary,0.0792727737079169,0.04519435933365415,0.12792344363330377
mutual_information,M04,structured,0.08050039035354048,0.06312069463953586,0.0999872855581309
mutual_information,M05,structured,0.08360565683649851,0.05883619862807077,0.11620328993402423
mutual_information,M06,simple,0.997875,0.9925625,1.0
mutual_information,M07,boundary,0.8126824520387018,0.7789652787663724,0.8481870466524215
mutual_information,M08,structured,0.3561020195070522,0.26211633570413506,0.45611791345149727
mutual_information,M09,structured,0.5414811065748635,0.5002817541835235,0.5841973523801262
mutual_information,M10,simple,0.9440187519931051,0.9220468344753285,0.9655468325576385
mutual_information,M11,boundary,0.8293986644632134,0.807235896980134,0.8515860447564274
rf_permutation,M01,simple,0.9091087171107759,0.8826869005938915,0.9353128926282052
rf_permutation,M02,simple,0.9609722222222221,0.9379402430555555,0.9825166666666666
rf_permutation,M03,boundary,0.602302314814815,0.527212048611111,0.6852457291666664
rf_permutation,M04,structured,0.04487348124070417,0.0363052094006246,0.054520317980491804
rf_permutation,M05,structured,0.04376140586391653,0.033515779767248524,0.05537618559949514
rf_permutation,M06,simple,0.7399091261650671,0.7266982144805121,0.7532199137877837
rf_permutation,M07,boundary,0.7677372357287389,0.7392187047905494,0.7962253389633654
rf_permutation,M08,structured,0.46479114408145167,0.3328402064888442,0.6054554009013977
rf_permutation,M09,structured,0.6546599073140678,0.626843979153291,0.6834350164207428
rf_permutation,M10,simple,0.9905349536737773,0.9790123051066579,0.99896
rf_permutation,M11,boundary,0.5672635068020707,0.5470421945398071,0.5865847438036335
