method,mechanism,category,diagnostic_normalized_ap,diagnostic_normalized_ap_se,best_evaluated_diagnostic,best_ci_low,best_ci_high,worst_evaluated_diagnostic,worst_ci_low,worst_ci_high,low_across_all_evaluated_diagnostics,between_diagnostic_range
all,M01,simple,0.9098609020064903,0.04090612831201935,absolute_correlation,0.9387000000000001,0.9587000000000001,mutual_information,0.8424921148132913,0.8624921148132914,0.8524921148132913,0.09620788518670875
all,M02,simple,0.9567620726495726,0.023323176236462812,absolute_correlation,0.9616666666666667,0.9816666666666667,mutual_information,0.9122149572649573,0.9322149572649573,0.9222149572649573,0.0494517094017094
all,M03,boundary,0.23535647746334293,0.2599544348977627,rf_permutation,0.6143555555555555,0.6343555555555556,absolute_correlation,0.07849858995994208,0.09849858995994207,0.08849858995994207,0.5358569655956135
all,M04,structured,0.10303787310138297,0.019380750592882058,mutual_information,0.12166740651677181,0.14166740651677182,lr_coefficient,0.08033803187367664,0.10033803187367663,0.09033803187367663,0.041329374643095176
all,M05,structured,0.10298385071741646,0.021436952678807117,mutual_information,0.1247521407247723,0.1447521407247723,lr_coefficient,0.07990896486113606,0.09990896486113605,0.08990896486113606,0.04484317586363623
all,M06,simple,0.9535674236639018,0.0908688210378468,absolute_correlation,0.99,1.01,rf_permutation,0.8072696946556072,0.8272696946556072,0.8172696946556072,0.18273030534439283
all,M07,boundary,0.8624283487973154,0.07912068189735344,lr_coefficient,0.95325,0.9732500000000001,rf_permutation,0.7706659790759636,0.7906659790759636,0.7806659790759636,0.18258402092403647
all,M08,structured,0.5456446931590081,0.125466022205219,absolute_correlation,0.6587382478632478,0.6787382478632478,mutual_information,0.38292303104360376,0.4029230310436038,0.39292303104360377,0.275815216819644
all,M09,structured,0.7525036697687654,0.047093305200677414,absolute_correlation,0.7894630440477752,0.8094630440477752,mutual_information,0.677225573799546,0.697225573799546,0.687225573799546,0.11223747024822928
all,M10,simple,0.9753541666666666,0.02011153794052891,rf_permutation,0.981,1.001,mutual_information,0.9369166666666666,0.9569166666666666,0.9469166666666666,0.04408333333333336
all,M11,boundary,0.8332777036921444,0.10664298482775207,absolute_correlation,0.8987652975021804,0.9187652975021804,rf_permutation,0.6662746032796183,0.6862746032796183,0.6762746032796183,0.23249069422256208
