mechanism,category,paired_harm,paired_harm_ci_low,paired_harm_ci_high,diagnostic_normalized_ap,sign_flip_p,holm_p
M01,simple,0.1802286270420869,0.1602286270420869,0.20022862704208688,0.8437658396464647,0.5,1.0
M02,simple,0.2036837822535385,0.1836837822535385,0.2236837822535385,0.9177541203703704,0.5,1.0
M03,boundary,0.21746043023151657,0.19746043023151658,0.23746043023151656,0.07927277370791687,0.5,1.0
M04,structured,-0.0012494695972672042,-0.021249469597267204,0.018750530402732796,0.0805003903535405,0.5,1.0
M05,structured,-0.001205636084117859,-0.02120563608411786,0.018794363915882142,0.08360565683649854,0.5,1.0
M06,simple,0.2837472164365661,0.26374721643656607,0.3037472164365661,0.997875,0.5,1.0
M07,boundary,0.12372618182026597,0.10372618182026597,0.14372618182026597,0.812682452038702,0.5,1.0
M08,structured,0.003304207170727691,-0.016695792829272308,0.023304207170727693,0.35610201950705234,0.5,1.0
M09,structured,0.23506295291218185,0.21506295291218186,0.25506295291218184,0.5414811065748634,0.5,1.0
M10,simple,0.22556820487598264,0.20556820487598265,0.24556820487598263,0.9440187519931049,0.5,1.0
M11,boundary,0.2863420968630607,0.2663420968630607,0.30634209686306074,0.8293986644632134,0.5,1.0
