dataset_index,mechanism,strength,training_seed,model,strict_auc,full_auc,initial_gap,adapter_sha
0,M01,S1,13,lr,0.6895833333333333,0.7136458333333333,0.024062499999999987,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S1,13,rf,0.618125,0.6553125,0.03718749999999993,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S1,13,lightgbm,0.5946874999999999,0.6458333333333333,0.051145833333333335,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S1,42,lr,0.6895833333333333,0.7006249999999999,0.011041666666666616,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S1,42,rf,0.6189583333333333,0.6429166666666667,0.023958333333333415,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S1,42,lightgbm,0.5946874999999999,0.6416666666666667,0.046979166666666794,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S1,2026,lr,0.6895833333333333,0.7213541666666667,0.031770833333333415,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S1,2026,rf,0.62875,0.6775000000000001,0.04875000000000007,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S1,2026,lightgbm,0.5946874999999999,0.6170312499999999,0.022343749999999996,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S1,3407,lr,0.6895833333333333,0.7170833333333334,0.02750000000000008,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S1,3407,rf,0.6319791666666666,0.6603125,0.02833333333333332,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S1,3407,lightgbm,0.5946874999999999,0.6383333333333333,0.043645833333333384,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S1,7777,lr,0.6895833333333333,0.7169791666666666,0.027395833333333286,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S1,7777,rf,0.6258333333333334,0.6343749999999999,0.008541666666666559,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S1,7777,lightgbm,0.5946874999999999,0.5951041666666665,0.0004166666666666208,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S2,13,lr,0.6895833333333333,0.7819791666666667,0.09239583333333334,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S2,13,rf,0.618125,0.7273958333333332,0.1092708333333332,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S2,13,lightgbm,0.5946874999999999,0.7271875000000001,0.13250000000000017,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S2,42,lr,0.6895833333333333,0.7673958333333333,0.07781249999999995,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S2,42,rf,0.6189583333333333,0.729375,0.11041666666666672,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S2,42,lightgbm,0.5946874999999999,0.7394791666666667,0.14479166666666676,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S2,2026,lr,0.6895833333333333,0.8117708333333333,0.1221875,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S2,2026,rf,0.62875,0.7680208333333334,0.13927083333333334,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S2,2026,lightgbm,0.5946874999999999,0.7539583333333333,0.15927083333333336,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S2,3407,lr,0.6895833333333333,0.7801041666666667,0.09052083333333338,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S2,3407,rf,0.6319791666666666,0.7291666666666667,0.0971875000000001,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S2,3407,lightgbm,0.5946874999999999,0.7211458333333334,0.12645833333333345,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S2,7777,lr,0.6895833333333333,0.7753125,0.08572916666666663,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S2,7777,rf,0.6258333333333334,0.7124999999999999,0.08666666666666656,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S2,7777,lightgbm,0.5946874999999999,0.7278125,0.13312500000000005,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S3,13,lr,0.6895833333333333,0.8732291666666667,0.1836458333333334,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S3,13,rf,0.618125,0.8671874999999999,0.24906249999999985,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S3,13,lightgbm,0.5946874999999999,0.85671875,0.26203125000000005,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S3,42,lr,0.6895833333333333,0.83375,0.14416666666666667,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S3,42,rf,0.6189583333333333,0.7999999999999999,0.18104166666666666,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S3,42,lightgbm,0.5946874999999999,0.7802083333333333,0.18552083333333336,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S3,2026,lr,0.6895833333333333,0.8820833333333333,0.1925,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S3,2026,rf,0.62875,0.8659375,0.2371875,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S3,2026,lightgbm,0.5946874999999999,0.8570833333333333,0.2623958333333334,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S3,3407,lr,0.6895833333333333,0.8813541666666667,0.19177083333333333,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S3,3407,rf,0.6319791666666666,0.8490624999999999,0.2170833333333333,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S3,3407,lightgbm,0.5946874999999999,0.8563541666666666,0.2616666666666667,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S3,7777,lr,0.6895833333333333,0.8504166666666666,0.16083333333333327,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S3,7777,rf,0.6258333333333334,0.8061979166666666,0.18036458333333327,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S3,7777,lightgbm,0.5946874999999999,0.8079166666666666,0.2132291666666667,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S4,13,lr,0.6895833333333333,0.9623958333333332,0.2728124999999999,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S4,13,rf,0.618125,0.9566666666666667,0.33854166666666663,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S4,13,lightgbm,0.5946874999999999,0.9547395833333333,0.3600520833333334,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S4,42,lr,0.6895833333333333,0.896875,0.20729166666666665,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S4,42,rf,0.6189583333333333,0.8842708333333333,0.26531250000000006,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S4,42,lightgbm,0.5946874999999999,0.8717708333333333,0.27708333333333335,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S4,2026,lr,0.6895833333333333,0.943125,0.25354166666666667,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S4,2026,rf,0.62875,0.9410416666666668,0.31229166666666675,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S4,2026,lightgbm,0.5946874999999999,0.946875,0.3521875000000001,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S4,3407,lr,0.6895833333333333,0.9573958333333333,0.2678125,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S4,3407,rf,0.6319791666666666,0.9308333333333333,0.29885416666666664,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S4,3407,lightgbm,0.5946874999999999,0.946875,0.3521875000000001,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S4,7777,lr,0.6895833333333333,0.9311458333333333,0.2415625,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S4,7777,rf,0.6258333333333334,0.9090625000000001,0.28322916666666675,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S4,7777,lightgbm,0.5946874999999999,0.8995833333333332,0.30489583333333325,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S5,13,lr,0.6895833333333333,1.0,0.3104166666666667,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S5,13,rf,0.618125,1.0,0.38187499999999996,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S5,13,lightgbm,0.5946874999999999,1.0,0.4053125000000001,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S5,42,lr,0.6895833333333333,1.0,0.3104166666666667,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S5,42,rf,0.6189583333333333,1.0,0.3810416666666667,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S5,42,lightgbm,0.5946874999999999,1.0,0.4053125000000001,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S5,2026,lr,0.6895833333333333,1.0,0.3104166666666667,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S5,2026,rf,0.62875,1.0,0.37124999999999997,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S5,2026,lightgbm,0.5946874999999999,1.0,0.4053125000000001,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S5,3407,lr,0.6895833333333333,1.0,0.3104166666666667,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S5,3407,rf,0.6319791666666666,1.0,0.36802083333333335,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S5,3407,lightgbm,0.5946874999999999,1.0,0.4053125000000001,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S5,7777,lr,0.6895833333333333,1.0,0.3104166666666667,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S5,7777,rf,0.6258333333333334,1.0,0.37416666666666665,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S5,7777,lightgbm,0.5946874999999999,1.0,0.4053125000000001,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M02,S1,13,lr,0.6895833333333333,0.738125,0.048541666666666705,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
