mechanism,family,initial_gap,P3_SDR,P2_bar_SDR,paired_effect,bootstrap_mean,ci_lo,ci_hi,P3_better_prob,n_cells
M01,simple,0.17287,0.101158,0.031764,0.069394,0.069479,0.018748,0.113898,0.9963,500
M02,simple,0.196254,0.1234,0.036508,0.086892,0.086962,0.034797,0.132823,0.9989,500
M03,boundary,0.003605,-0.080783,-0.024032,-0.056751,-0.05671,-0.097237,-0.021631,0.0,500
M04,structured,0.001495,-0.082618,-0.025844,-0.056774,-0.056735,-0.097297,-0.021929,0.0,500
M05,structured,0.001631,-0.081743,-0.025509,-0.056234,-0.05619,-0.096489,-0.021598,0.0,500
M06,simple,0.271031,0.121974,0.011751,0.110223,0.110298,0.080013,0.140407,1.0,500
M07,boundary,0.111747,0.036091,0.017852,0.018239,0.018282,-0.030204,0.059933,0.7857,500
M08,structured,0.007924,-0.068899,-0.017246,-0.051653,-0.05161,-0.090202,-0.018361,0.0,500
M09,structured,0.224652,0.167123,0.01822,0.148903,0.148998,0.125821,0.170974,1.0,500
M10,simple,0.216936,0.152512,0.042498,0.110014,0.110109,0.064266,0.150553,1.0,500
M11,boundary,0.273554,0.170155,0.01486,0.155295,0.155426,0.123714,0.185496,1.0,500
