archetype,n_tasks,paired_effect,ci_lo,ci_hi,positive_task_proportion
drifting,4,0.08435,0.064904,0.103795,1.0
interaction,4,0.107121,0.092669,0.125434,1.0
linear,4,0.074082,0.068113,0.08005,1.0
nonlinear,4,0.069847,0.045082,0.086146,1.0
sparse,4,-0.118332,-0.15972,-0.092976,0.0
LOAO-drifting,16,0.033179,-0.014966,0.074795,0.75
LOAO-interaction,16,0.027487,-0.018298,0.0663,0.75
LOAO-linear,16,0.035746,-0.012574,0.077677,0.75
LOAO-nonlinear,16,0.036805,-0.012029,0.078153,0.75
LOAO-sparse,16,0.08385,0.072562,0.094772,1.0
