row_type,scope,n_keys,initial_gap,p3_sdr,p2_mean_sdr,repair_advantage,p3_leak_recall,p3_legitimate_retention,mean_sparse_signal_fields_removed
task,3,275,0.097845,-0.190395,-0.010195,-0.180199,0.550606,0.838182,2.570909
task,8,275,0.118741,-0.099762,-0.001479,-0.098283,0.566061,0.837902,1.545455
task,13,275,0.093392,-0.091981,-0.003453,-0.088528,0.558939,0.862594,1.749091
task,18,275,0.094244,-0.109614,-0.003296,-0.106318,0.604242,0.85374,1.807273
mechanism,M01,100,0.127373,-0.125487,0.016982,-0.142469,0.87,0.840833,2.25
mechanism,M02,100,0.148104,-0.107261,0.023156,-0.130418,0.93,0.843875,2.25
mechanism,M03,100,0.001726,-0.261321,-0.041081,-0.220241,0.0,0.788542,2.25
mechanism,M04,100,0.001265,-0.261421,-0.041488,-0.219933,0.11,0.795375,2.25
mechanism,M05,100,0.001296,-0.25989,-0.041473,-0.218417,0.07,0.792125,2.25
mechanism,M06,100,0.206099,0.004468,0.009269,-0.004801,0.877083,0.94125,0.95
mechanism,M07,100,0.085058,-0.17813,0.005057,-0.183188,0.86,0.840208,2.25
mechanism,M08,100,0.003746,-0.247413,-0.037011,-0.210402,0.43,0.815042,2.25
mechanism,M09,100,0.167411,0.083477,0.01416,0.069317,0.41375,0.89675,1.59
mechanism,M10,100,0.164023,-0.044573,0.029949,-0.074522,0.97,0.839399,1.78
mechanism,M11,100,0.205509,0.045236,0.011817,0.033419,0.73875,0.93575,1.03
