metric,mean,ci_lo,ci_hi,p_gt_zero,n_keys,n_tasks,task_sd,policy,contract,budget_bp,archetype
delta_legacy_sdr,0.06584439768829323,0.050207459935974086,0.07662739634964381,1.0,1100,4,0.015942600471862592,P3,encoded_column,500,drifting
delta_directional_repair,0.06605992538534763,0.051750542521222305,0.07590306260328288,1.0,1100,4,0.01478054612765799,P3,encoded_column,500,drifting
delta_same_side_residual,-0.06605992538534763,-0.07590306260328288,-0.05175054252122231,0.0,1100,4,0.01478054612765799,P3,encoded_column,500,drifting
delta_overcorrection,0.00018520861279893445,-0.0006714229043041629,0.0012699100416601844,0.5788,1100,4,0.001209955182136467,P3,encoded_column,500,drifting
delta_introduced_distortion,3.031908425545476e-05,-1.0209600153734208e-05,7.084776866464373e-05,0.922,1100,4,4.832730466041842e-05,P3,encoded_column,500,drifting
delta_introduced_distortion_zero_opp,0.0037032785723698242,-0.005615280084553813,0.01120907463943581,0.742,6,3,0.008557412525118125,P3,encoded_column,500,drifting
delta_leak_recall,0.35662499999999997,0.3098825757575758,0.4046401515151515,1.0,1100,4,0.05967696637765007,P3,encoded_column,500,drifting
delta_deletion_precision,0.4865227272727273,0.4411818181818182,0.535159090909091,1.0,1100,4,0.05883929530659176,P3,encoded_column,500,drifting
delta_legit_retention,0.029608832270670512,0.02307484848484849,0.0378422588440971,1.0,1100,4,0.008293619419233924,P3,encoded_column,500,drifting
delta_semantic_group_recall_full,0.31268181818181817,0.27054545454545453,0.35481818181818187,1.0,1100,4,0.05169871928546757,P3,encoded_column,500,drifting
delta_semantic_group_recall_any,0.4798636363636364,0.4411818181818182,0.5185454545454545,1.0,1100,4,0.04766235122733567,P3,encoded_column,500,drifting
delta_partial_group_violation_rate,0.16718181818181818,0.16372727272727272,0.17063636363636364,1.0,1100,4,0.0041046905910780635,P3,encoded_column,500,drifting
delta_legacy_sdr,0.06926857607961451,0.0656486121229651,0.07447884114785369,1.0,1100,4,0.005478511762265667,P3,encoded_column,500,interaction
delta_directional_repair,0.07218779725977326,0.06691935233608093,0.07745624218346558,1.0,1100,4,0.006202909711775989,P3,encoded_column,500,interaction
delta_same_side_residual,-0.07218779725977326,-0.07745624218346558,-0.06691935233608093,0.0,1100,4,0.006202909711775989,P3,encoded_column,500,interaction
delta_overcorrection,0.002780948688199508,-0.000665215910759132,0.006803515855695408,0.9362,1100,4,0.004696040190749249,P3,encoded_column,500,interaction
delta_introduced_distortion,0.00013827249195921907,-3.0037562630514032e-06,0.0003668964393983172,0.9356,1100,4,0.0002364721820363655,P3,encoded_column,500,interaction
delta_introduced_distortion_zero_opp,0.020804648285924852,-0.0016520659446782717,0.044842898148683204,0.964,5,3,0.023287794286440608,P3,encoded_column,500,interaction
delta_leak_recall,0.35443749999999996,0.31220643939393944,0.4112954545454545,1.0,1100,4,0.058913957526654064,P3,encoded_column,500,interaction
delta_deletion_precision,0.48777272727272725,0.43890909090909086,0.5572272727272727,1.0,1100,4,0.07021688164764626,P3,encoded_column,500,interaction
delta_legit_retention,0.0295656530969031,0.025081439393939375,0.03575458916083918,1.0,1100,4,0.00659202615282693,P3,encoded_column,500,interaction
delta_semantic_group_recall_full,0.3088181818181818,0.2672727272727273,0.36286363636363633,1.0,1100,4,0.05929698332465959,P3,encoded_column,500,interaction
delta_semantic_group_recall_any,0.48218181818181816,0.4334545454545454,0.5516363636363637,1.0,1100,4,0.07379100858274269,P3,encoded_column,500,interaction
delta_partial_group_violation_rate,0.1733636363636364,0.165,0.18877272727272726,1.0,1100,4,0.015485174639274013,P3,encoded_column,500,interaction
delta_legacy_sdr,0.055615802312741706,0.01921309185975443,0.07841151428239744,1.0,1100,4,0.03725379036433817,P3,encoded_column,500,linear
delta_directional_repair,0.0640554901587172,0.04258927985680643,0.08155791708650549,1.0,1100,4,0.023296419779214376,P3,encoded_column,500,linear
delta_same_side_residual,-0.0640554901587172,-0.08155791708650548,-0.04258927985680643,0.0,1100,4,0.02329641977921437,P3,encoded_column,500,linear
delta_overcorrection,0.00837841321249515,-0.001602089289387084,0.02342902935606063,0.9322,1100,4,0.015892472685610597,P3,encoded_column,500,linear
delta_introduced_distortion,6.12746334803321e-05,-0.00010877082476347185,0.00031963071005295323,0.6838,1100,4,0.0002622026005027033,P3,encoded_column,500,linear
delta_introduced_distortion_zero_opp,0.0032698411038469236,-0.013294211915535448,0.030538631060409615,0.711,9,3,0.023796492924570596,P3,encoded_column,500,linear
delta_leak_recall,0.34968750000000004,0.31528598484848486,0.4049450757575757,1.0,1100,4,0.05521561181815073,P3,encoded_column,500,linear
delta_deletion_precision,0.4814772727272727,0.43949999999999995,0.5495454545454546,1.0,1100,4,0.0694482138554585,P3,encoded_column,500,linear
delta_legit_retention,0.029088238746547573,0.02376660173160171,0.034672009975318815,1.0,1100,4,0.005992562077022986,P3,encoded_column,500,linear
delta_semantic_group_recall_full,0.3052272727272727,0.2651363636363636,0.3617272727272727,1.0,1100,4,0.05614942186485607,P3,encoded_column,500,linear
delta_semantic_group_recall_any,0.47577272727272724,0.4232272727272727,0.5495454545454546,1.0,1100,4,0.07545481927661159,P3,encoded_column,500,linear
delta_partial_group_violation_rate,0.17054545454545453,0.15572727272727271,0.1878181818181818,1.0,1100,4,0.019945379961740065,P3,encoded_column,500,linear
delta_legacy_sdr,0.06274413881895197,0.034714987674362645,0.0907732899635413,1.0,1100,4,0.034829308534838656,P3,encoded_column,500,nonlinear
delta_directional_repair,0.06860457961127622,0.04385910161886723,0.09335005760368521,1.0,1100,4,0.029158469942682588,P3,encoded_column,500,nonlinear
delta_same_side_residual,-0.06860457961127622,-0.09335005760368521,-0.043859101618867226,0.0,1100,4,0.029158469942682588,P3,encoded_column,500,nonlinear
delta_overcorrection,0.005574969209604138,-0.0004018540777804974,0.013479403705307692,0.9422,1100,4,0.008670808310501307,P3,encoded_column,500,nonlinear
delta_introduced_distortion,0.0002854715827201012,-2.7422987986969874e-05,0.0008837594696969701,0.7376,1100,4,0.0005955008732507719,P3,encoded_column,500,nonlinear
delta_introduced_distortion_zero_opp,0.03433394911596916,-0.00503472222222229,0.10801504629629634,0.7402,7,3,0.06385976406080521,P3,encoded_column,500,nonlinear
delta_leak_recall,0.360564393939394,0.29785227272727277,0.4232765151515152,1.0,1100,4,0.07425490116247074,P3,encoded_column,500,nonlinear
delta_deletion_precision,0.49265909090909094,0.4165454545454545,0.5687727272727273,1.0,1100,4,0.0893398308253426,P3,encoded_column,500,nonlinear
delta_legit_retention,0.029310985656500366,0.025904276483320603,0.03356311771561773,1.0,1100,4,0.004417811227542191,P3,encoded_column,500,nonlinear
delta_semantic_group_recall_full,0.3150454545454545,0.26045454545454544,0.36963636363636365,1.0,1100,4,0.06634800563121449,P3,encoded_column,500,nonlinear
delta_semantic_group_recall_any,0.4858636363636364,0.4165454545454545,0.5551818181818182,1.0,1100,4,0.08386495441191391,P3,encoded_column,500,nonlinear
delta_partial_group_violation_rate,0.1708181818181818,0.1555,0.18913636363636366,1.0,1100,4,0.02050304015621545,P3,encoded_column,500,nonlinear
delta_legacy_sdr,0.04711602090093857,0.008424807424966018,0.07420487429088234,0.9962,1100,4,0.040720576540156324,P3,encoded_column,500,sparse
delta_directional_repair,0.05364126757805263,0.028117364725519917,0.07503567753774015,1.0,1100,4,0.02906787986185264,P3,encoded_column,500,sparse
delta_same_side_residual,-0.05364126757805263,-0.07503567753774015,-0.028117364725519917,0.0,1100,4,0.029067879861852646,P3,encoded_column,500,sparse
delta_overcorrection,0.0063597363205161956,-0.0006889784058764282,0.018804830087731532,0.8684,1100,4,0.012570838727937315,P3,encoded_column,500,sparse
delta_introduced_distortion,0.00016551035659786146,0.0,0.00038647849664833937,0.9366,1100,4,0.00024323915548570362,P3,encoded_column,500,sparse
delta_introduced_distortion_zero_opp,0.08094254359050969,0.020176305076628254,0.1417087821043911,1.0,3,2,0.08593643864072943,P3,encoded_column,500,sparse
delta_leak_recall,0.3608409090909091,0.2906723484848485,0.4281420454545455,1.0,1100,4,0.07575191367729847,P3,encoded_column,500,sparse
delta_deletion_precision,0.48924999999999996,0.40840909090909083,0.5606136363636364,1.0,1100,4,0.08493271928066189,P3,encoded_column,500,sparse
delta_legit_retention,0.029413224153297685,0.024131751336898405,0.036709090909090934,1.0,1100,4,0.007815315416390706,P3,encoded_column,500,sparse
delta_semantic_group_recall_full,0.3160909090909091,0.2534090909090909,0.3724090909090909,1.0,1100,4,0.06649517888860061,P3,encoded_column,500,sparse
delta_semantic_group_recall_any,0.4826818181818181,0.40840909090909083,0.5409090909090909,1.0,1100,4,0.07581075103474304,P3,encoded_column,500,sparse
delta_partial_group_violation_rate,0.1665909090909091,0.15263636363636363,0.18059090909090908,1.0,1100,4,0.015371523885304078,P3,encoded_column,500,sparse
delta_legacy_sdr,0.05620165336826896,0.002321309069856773,0.08541949377574554,0.9968,1100,4,0.05446024146029866,P3,encoded_column,1000,drifting
delta_directional_repair,0.06914000274140086,0.03806817793021272,0.08622902569127475,1.0,1100,4,0.031397759392128244,P3,encoded_column,1000,drifting
delta_same_side_residual,-0.06914000274140086,-0.08622902569127475,-0.03806817793021272,0.0,1100,4,0.031397759392128244,P3,encoded_column,1000,drifting
delta_overcorrection,0.012508858733006134,0.0007555093709659987,0.03471608505598455,1.0,1100,4,0.02228577307666204,P3,encoded_column,1000,drifting
delta_introduced_distortion,0.0004294906401257497,1.538165895707804e-05,0.0012190677168569582,0.9966,1100,4,0.0007873870116265639,P3,encoded_column,1000,drifting
delta_introduced_distortion_zero_opp,0.0808492229064639,0.004264191552327078,0.2213636523142788,1.0,6,3,0.12185347724792989,P3,encoded_column,1000,drifting
delta_leak_recall,0.4184734848484848,0.3949242424242424,0.4469204545454546,1.0,1100,4,0.032434793372082486,P3,encoded_column,1000,drifting
delta_deletion_precision,0.36207575757575755,0.30227272727272725,0.4523636363636364,1.0,1100,4,0.0932549995951689,P3,encoded_column,1000,drifting
