metric,mean,ci_lo,ci_hi,p_gt_zero,n_keys,n_tasks,task_sd,policy,contract,budget_bp,mechanism_family
delta_legacy_sdr,0.09757526908653821,0.08751492805608699,0.10676282176224036,1.0,2000,20,0.022156688963766394,P3,encoded_column,500,boundary
delta_directional_repair,0.0988588062280853,0.09000807467892598,0.10752507553927637,1.0,2000,20,0.020569363114718662,P3,encoded_column,500,boundary
delta_same_side_residual,-0.0988588062280853,-0.10764839084796761,-0.09002448520117719,0.0,2000,20,0.020569363114718662,P3,encoded_column,500,boundary
delta_overcorrection,0.001283537141547062,0.00011381504689718787,0.002769659161632448,0.9896,2000,20,0.0032166692322401743,P3,encoded_column,500,boundary
delta_introduced_distortion,0.0,0.0,0.0,0.0,2000,20,0.0,P3,encoded_column,500,boundary
delta_introduced_distortion_zero_opp,,,,,0,0,,P3,encoded_column,500,boundary
delta_leak_recall,0.5425885416666667,0.5216591666666667,0.5630073177083332,1.0,2000,20,0.04878656967090453,P3,encoded_column,500,boundary
delta_deletion_precision,0.7878125,0.7645112500000002,0.8106875,1.0,2000,20,0.05525317774857652,P3,encoded_column,500,boundary
delta_legit_retention,0.047189063658155575,0.04345538699802037,0.05140198664182019,1.0,2000,20,0.009374353139012368,P3,encoded_column,500,boundary
delta_semantic_group_recall_full,0.441,0.42247437500000007,0.45875187500000003,1.0,2000,20,0.042028499102895696,P3,encoded_column,500,boundary
delta_semantic_group_recall_any,0.7787749999999999,0.75779875,0.800675625,1.0,2000,20,0.05069762659242802,P3,encoded_column,500,boundary
delta_partial_group_violation_rate,0.33777500000000005,0.329924375,0.345675625,1.0,2000,20,0.01865791422313584,P3,encoded_column,500,boundary
delta_legacy_sdr,0.10305722486364077,0.08652739811452481,0.11817325569121657,1.0,1500,20,0.037114490942503485,P3,encoded_column,500,simple
delta_directional_repair,0.10815290615980107,0.09532126515423466,0.12059548030787944,1.0,1500,20,0.030020398617314255,P3,encoded_column,500,simple
delta_same_side_residual,-0.10815290615980104,-0.12087196918049996,-0.09519830806285841,0.0,1500,20,0.03002039861731425,P3,encoded_column,500,simple
delta_overcorrection,0.00488774772716337,0.001099685931481369,0.009597487049903075,0.9986,1500,20,0.01032660223656349,P3,encoded_column,500,simple
delta_introduced_distortion,0.0002079335689969139,-7.760624837910135e-06,0.0005188188976212226,0.9612,1500,20,0.0006638662956122511,P3,encoded_column,500,simple
delta_introduced_distortion_zero_opp,0.02875909137491625,0.0015409970967300388,0.06417534445622042,0.9872,8,6,0.04386330086691389,P3,encoded_column,500,simple
delta_leak_recall,0.5118333333333334,0.49119999999999997,0.5329341666666666,1.0,1500,20,0.0496122391049411,P3,encoded_column,500,simple
delta_deletion_precision,0.5118333333333334,0.4906666666666667,0.5332008333333333,1.0,1500,20,0.0496122391049411,P3,encoded_column,500,simple
delta_legit_retention,0.03028152777777778,0.026804312499999976,0.033925260416666686,1.0,1500,20,0.008419677644266812,P3,encoded_column,500,simple
delta_semantic_group_recall_full,0.5118333333333334,0.4916666666666667,0.5330016666666667,1.0,1500,20,0.0496122391049411,P3,encoded_column,500,simple
delta_semantic_group_recall_any,0.5118333333333334,0.4905325,0.5333666666666667,1.0,1500,20,0.0496122391049411,P3,encoded_column,500,simple
delta_partial_group_violation_rate,0.0,0.0,0.0,0.0,1500,20,0.0,P3,encoded_column,500,simple
delta_legacy_sdr,-0.009544273043971794,-0.025815876859962165,0.003759054271849649,0.089,2000,20,0.03429726162319287,P3,encoded_column,500,structured
delta_directional_repair,-0.0014715028516942776,-0.011033115717714974,0.006929291955501685,0.4066,2000,20,0.021042894025640337,P3,encoded_column,500,structured
delta_same_side_residual,0.0014715028516942782,-0.00697879398584157,0.011424688570823672,0.6018,2000,20,0.021042894025640337,P3,encoded_column,500,structured
delta_overcorrection,0.00785425388706807,0.001757580969561271,0.015530452389262938,0.998,2000,20,0.015888385545666454,P3,encoded_column,500,structured
delta_introduced_distortion,0.00021851630520944732,4.263430267378088e-05,0.00042149663448166555,0.995,2000,20,0.00045048185929188583,P3,encoded_column,500,structured
delta_introduced_distortion_zero_opp,0.027348108976524146,0.005861410598784806,0.05444293521518042,0.9976,22,13,0.047042137563635074,P3,encoded_column,500,structured
delta_leak_recall,0.05372187500000001,0.017924296874999995,0.08961390624999996,0.9996,2000,20,0.08462891004678742,P3,encoded_column,500,structured
delta_deletion_precision,0.1690375,0.12608562499999998,0.21317656249999994,1.0,2000,20,0.10183175220224265,P3,encoded_column,500,structured
delta_legit_retention,0.010942604166666666,0.008563052083333342,0.013261945312499994,1.0,2000,20,0.00561735520448277,P3,encoded_column,500,structured
delta_semantic_group_recall_full,0.03194999999999999,-0.00020062500000000082,0.06622624999999999,0.974,2000,20,0.07908171989184752,P3,encoded_column,500,structured
delta_semantic_group_recall_any,0.16085,0.12069624999999999,0.20325249999999995,1.0,2000,20,0.09794280017062591,P3,encoded_column,500,structured
delta_partial_group_violation_rate,0.12890000000000001,0.11774937499999999,0.14062500000000003,1.0,2000,20,0.02665303379591741,P3,encoded_column,500,structured
delta_legacy_sdr,0.10335244340552863,0.08163058086946283,0.12078763903789783,1.0,2000,20,0.04552049274191832,P3,encoded_column,1000,boundary
delta_directional_repair,0.11807978332048297,0.10654090185271611,0.12955042489389942,1.0,2000,20,0.026546519170289325,P3,encoded_column,1000,boundary
delta_same_side_residual,-0.11807978332048297,-0.12980154150554277,-0.10700198350675177,0.0,2000,20,0.026546519170289325,P3,encoded_column,1000,boundary
delta_overcorrection,0.014727339914954327,0.004219806252612508,0.029509220302405884,0.9998,2000,20,0.03108577341894754,P3,encoded_column,1000,boundary
delta_introduced_distortion,0.0,0.0,0.0,0.0,2000,20,0.0,P3,encoded_column,1000,boundary
delta_introduced_distortion_zero_opp,,,,,0,0,,P3,encoded_column,1000,boundary
delta_leak_recall,0.6333770833333333,0.6104229427083334,0.65632203125,1.0,2000,20,0.05266855638855212,P3,encoded_column,1000,boundary
delta_deletion_precision,0.5880333333333333,0.5405703125,0.6399131249999999,1.0,2000,20,0.11684075169781277,P3,encoded_column,1000,boundary
delta_legit_retention,0.0680303170383538,0.06413923646809687,0.07227914607203458,1.0,2000,20,0.009604078082219508,P3,encoded_column,1000,boundary
delta_semantic_group_recall_full,0.49640000000000006,0.47717000000000004,0.5162025,1.0,2000,20,0.045913419664224076,P3,encoded_column,1000,boundary
delta_semantic_group_recall_any,0.7015,0.687624375,0.714500625,1.0,2000,20,0.031770973180595276,P3,encoded_column,1000,boundary
delta_partial_group_violation_rate,0.2051,0.193549375,0.217050625,1.0,2000,20,0.027640835542249522,P3,encoded_column,1000,boundary
delta_legacy_sdr,0.07261658325180967,0.034302895456328315,0.10229457986891459,0.9998,1500,20,0.07860158315020906,P3,encoded_column,1000,simple
delta_directional_repair,0.09961967671804718,0.08586968505298809,0.11272584503147325,1.0,1500,20,0.0322307602189717,P3,encoded_column,1000,simple
delta_same_side_residual,-0.09961967671804718,-0.11283030873007098,-0.08544921927500422,0.0,1500,20,0.03223076021897169,P3,encoded_column,1000,simple
delta_overcorrection,0.026777163991341002,0.007602261066015791,0.05077646625694063,1.0,1500,20,0.0523092434102771,P3,encoded_column,1000,simple
delta_introduced_distortion,0.00022592947489652048,1.6280847741363317e-05,0.0005455004649769333,0.993,1500,20,0.0006600304507436614,P3,encoded_column,1000,simple
delta_introduced_distortion_zero_opp,0.03363392780322151,0.008079078459488786,0.06518591199686459,0.9992,8,6,0.040692160790627034,P3,encoded_column,1000,simple
delta_leak_recall,0.5109333333333334,0.492065,0.5308025,1.0,1500,20,0.045857853090375704,P3,encoded_column,1000,simple
delta_deletion_precision,0.2992222222222223,0.24453430555555553,0.3598811111111111,1.0,1500,20,0.13660667632145415,P3,encoded_column,1000,simple
delta_legit_retention,0.030355138888888883,0.026897190972222203,0.034294000000000026,1.0,1500,20,0.008750401795054154,P3,encoded_column,1000,simple
delta_semantic_group_recall_full,0.5109333333333334,0.4920316666666666,0.5311000000000001,1.0,1500,20,0.045857853090375704,P3,encoded_column,1000,simple
delta_semantic_group_recall_any,0.5109333333333334,0.4917991666666667,0.5314666666666666,1.0,1500,20,0.045857853090375704,P3,encoded_column,1000,simple
delta_partial_group_violation_rate,0.0,0.0,0.0,0.0,1500,20,0.0,P3,encoded_column,1000,simple
delta_legacy_sdr,-0.005136607592156346,-0.032450880163537796,0.01725550014554579,0.361,2000,20,0.05851586492433049,P3,encoded_column,1000,structured
delta_directional_repair,0.009392797240261064,-0.007827179381130504,0.023395551548055712,0.8724,2000,20,0.03611560021034551,P3,encoded_column,1000,structured
delta_same_side_residual,-0.009392797240261064,-0.023250168935948563,0.0073189044016718765,0.1236,2000,20,0.036115600210345516,P3,encoded_column,1000,structured
delta_overcorrection,0.014051183673891304,0.005012444905646967,0.02596174425592537,1.0,2000,20,0.024727590103699685,P3,encoded_column,1000,structured
delta_introduced_distortion,0.0004782211585261034,0.00011981933681736493,0.0009975799007777486,0.9998,2000,20,0.0010451370973692164,P3,encoded_column,1000,structured
delta_introduced_distortion_zero_opp,0.04644543685059082,0.012183624216965751,0.08902995497012707,1.0,22,13,0.07343667301869601,P3,encoded_column,1000,structured
delta_leak_recall,0.08632187499999999,0.047271562499999996,0.12539382812499988,1.0,2000,20,0.09155436414141499,P3,encoded_column,1000,structured
delta_deletion_precision,0.15259583333333332,0.1267916666666667,0.17780135416666665,1.0,2000,20,0.06078814276187912,P3,encoded_column,1000,structured
delta_legit_retention,0.020821874999999997,0.017310484374999997,0.024051153645833327,1.0,2000,20,0.007704901930059034,P3,encoded_column,1000,structured
delta_semantic_group_recall_full,0.044675000000000006,0.010696875,0.079275,0.9938,2000,20,0.08056515424764833,P3,encoded_column,1000,structured
delta_semantic_group_recall_any,0.127375,0.090095625,0.16425125,1.0,2000,20,0.08827720618358369,P3,encoded_column,1000,structured
delta_partial_group_violation_rate,0.0827,0.07552500000000001,0.089475,1.0,2000,20,0.016447204209706568,P3,encoded_column,1000,structured
delta_legacy_sdr,0.09956983937130594,0.061292381328683164,0.13340816194221694,1.0,2000,20,0.08657099116748751,P3,encoded_column,2000,boundary
delta_directional_repair,0.1456379594429866,0.13052270093471796,0.16162018304930068,1.0,2000,20,0.03598836594191651,P3,encoded_column,2000,boundary
delta_same_side_residual,-0.1456379594429866,-0.16089515551937014,-0.13043047913192413,0.0,2000,20,0.03598836594191651,P3,encoded_column,2000,boundary
delta_overcorrection,0.046068120071680645,0.021737739313434246,0.07636388357796416,1.0,2000,20,0.06477163558349391,P3,encoded_column,2000,boundary
delta_introduced_distortion,0.0,0.0,0.0,0.0,2000,20,0.0,P3,encoded_column,2000,boundary
delta_introduced_distortion_zero_opp,,,,,0,0,,P3,encoded_column,2000,boundary
delta_leak_recall,0.6672635416666668,0.6491042447916666,0.6857819270833333,1.0,2000,20,0.04365660157694564,P3,encoded_column,2000,boundary
delta_deletion_precision,0.36543291666666666,0.3517058437500001,0.37847332291666663,1.0,2000,20,0.031163528957708762,P3,encoded_column,2000,boundary
delta_legit_retention,0.09110469780219779,0.08561042931076278,0.0966030124747495,1.0,2000,20,0.01315659542303703,P3,encoded_column,2000,boundary
delta_semantic_group_recall_full,0.56045,0.53454875,0.58587625,1.0,2000,20,0.0603973465781752,P3,encoded_column,2000,boundary
delta_semantic_group_recall_any,0.557775,0.5476743749999999,0.5687999999999999,1.0,2000,20,0.025258909319287728,P3,encoded_column,2000,boundary
delta_partial_group_violation_rate,-0.002675000000000001,-0.021475625,0.015876249999999977,0.3898,2000,20,0.04370272633913912,P3,encoded_column,2000,boundary
delta_legacy_sdr,0.0328622927031786,-0.01594678511012261,0.07469742932050735,0.9116,1500,20,0.10696174505018571,P3,encoded_column,2000,simple
delta_directional_repair,0.08604023365061923,0.07025006772325906,0.10006879537927152,1.0,1500,20,0.035256681020795363,P3,encoded_column,2000,simple
delta_same_side_residual,-0.08604023365061923,-0.10076743212591643,-0.07045570017099564,0.0,1500,20,0.035256681020795363,P3,encoded_column,2000,simple
delta_overcorrection,0.05286078701996115,0.02386898603870753,0.08705219168930316,1.0,1500,20,0.07589439662770898,P3,encoded_column,2000,simple
delta_introduced_distortion,0.0003171539274794951,-2.0115156268711028e-05,0.0009140979070705179,0.9422,1500,20,0.0012298531381875015,P3,encoded_column,2000,simple
delta_introduced_distortion_zero_opp,0.04081381174748925,-0.004938673773949961,0.10959082370617257,0.9266,8,6,0.08376598914402486,P3,encoded_column,2000,simple
delta_leak_recall,0.44716666666666666,0.4269991666666666,0.4686025,1.0,1500,20,0.04839838332808164,P3,encoded_column,2000,simple
delta_deletion_precision,0.12403055555555557,0.11305508333333332,0.13471456944444443,1.0,1500,20,0.025387403791645412,P3,encoded_column,2000,simple
delta_legit_retention,0.026279027777777787,0.02354054513888889,0.02907727430555556,1.0,1500,20,0.006490845097051053,P3,encoded_column,2000,simple
delta_semantic_group_recall_full,0.44716666666666666,0.4270983333333334,0.4687,1.0,1500,20,0.04839838332808164,P3,encoded_column,2000,simple
delta_semantic_group_recall_any,0.44716666666666666,0.4274991666666667,0.46866916666666664,1.0,1500,20,0.04839838332808164,P3,encoded_column,2000,simple
delta_partial_group_violation_rate,0.0,0.0,0.0,0.0,1500,20,0.0,P3,encoded_column,2000,simple
delta_legacy_sdr,-0.0033139068480788985,-0.038876304112622856,0.02696509988833796,0.4422,2000,20,0.07646562162734565,P3,encoded_column,2000,structured
delta_directional_repair,0.020652779674254457,0.0027634832888652643,0.03553872875830805,0.9882,2000,20,0.03891857989338603,P3,encoded_column,2000,structured
delta_same_side_residual,-0.020652779674254457,-0.03587920621242472,-0.0021106283333373562,0.014,2000,20,0.03891857989338603,P3,encoded_column,2000,structured
delta_overcorrection,0.023515002665471577,0.008997212093460674,0.04191966250225722,1.0,2000,20,0.03906566733994621,P3,encoded_column,2000,structured
delta_introduced_distortion,0.0004516838568617761,0.00010240826728602662,0.0009013234486287931,0.9992,2000,20,0.0009502238712662728,P3,encoded_column,2000,structured
delta_introduced_distortion_zero_opp,0.0491930197189111,0.010959044701644851,0.09272138789060436,0.9982,22,13,0.07978506667274407,P3,encoded_column,2000,structured
delta_leak_recall,0.100590625,0.06075296874999998,0.1408171875,1.0,2000,20,0.09326885849547717,P3,encoded_column,2000,structured
delta_deletion_precision,0.10766083333333336,0.09320867708333333,0.12272399999999999,1.0,2000,20,0.03478681115398705,P3,encoded_column,2000,structured
delta_legit_retention,0.03146104166666667,0.027666471354166666,0.03531561197916666,1.0,2000,20,0.009090060886321508,P3,encoded_column,2000,structured
delta_semantic_group_recall_full,0.035199999999999995,0.00034875,0.06887812499999996,0.9766,2000,20,0.07987496808334754,P3,encoded_column,2000,structured
