metric,mean,ci_lo,ci_hi,p_gt_zero,n_keys,n_tasks,task_sd,policy,contract,budget_bp,mechanism
delta_legacy_sdr,0.1544835086906458,0.13785392066268207,0.17147128446373758,1.0,500,20,0.03858429121733948,P3,encoded_column,500,M01
delta_directional_repair,0.15719395313672493,0.14217402736643245,0.17192056974793846,1.0,500,20,0.03493730706846568,P3,encoded_column,500,M01
delta_same_side_residual,-0.15719395313672493,-0.1725333852020712,-0.1428503139105246,0.0,500,20,0.03493730706846568,P3,encoded_column,500,M01
delta_overcorrection,0.0027104444460791157,0.0002058323476229872,0.006032001596181508,0.9924,500,20,0.006815061579411667,P3,encoded_column,500,M01
delta_introduced_distortion,0.0,0.0,0.0,0.0,500,20,0.0,P3,encoded_column,500,M01
delta_introduced_distortion_zero_opp,,,,,0,0,,P3,encoded_column,500,M01
delta_leak_recall,0.7472000000000001,0.7138975,0.7790025,1.0,500,20,0.0771093550198609,P3,encoded_column,500,M01
delta_deletion_precision,0.7472000000000001,0.7136000000000001,0.7791025,1.0,500,20,0.0771093550198609,P3,encoded_column,500,M01
delta_legit_retention,0.04419250000000001,0.039177822916666646,0.04975417708333337,1.0,500,20,0.01230442079899868,P3,encoded_column,500,M01
delta_semantic_group_recall_full,0.7472000000000001,0.7140949999999999,0.7783,1.0,500,20,0.0771093550198609,P3,encoded_column,500,M01
delta_semantic_group_recall_any,0.7472000000000001,0.7134975,0.7798,1.0,500,20,0.0771093550198609,P3,encoded_column,500,M01
delta_partial_group_violation_rate,0.0,0.0,0.0,0.0,500,20,0.0,P3,encoded_column,500,M01
delta_legacy_sdr,0.17782945455102642,0.15950649442005876,0.19622882263623928,1.0,500,20,0.04309865040649762,P3,encoded_column,500,M02
delta_directional_repair,0.1793770642962538,0.1622763051838878,0.19657706773846648,1.0,500,20,0.04089292604062761,P3,encoded_column,500,M02
delta_same_side_residual,-0.1793770642962538,-0.19625486005479176,-0.16161271774777528,0.0,500,20,0.04089292604062761,P3,encoded_column,500,M02
delta_overcorrection,0.001547609745227352,-4.499557240637914e-05,0.0037097698097598697,0.9564,500,20,0.004497879396161345,P3,encoded_column,500,M02
delta_introduced_distortion,0.0,0.0,0.0,0.0,500,20,0.0,P3,encoded_column,500,M02
delta_introduced_distortion_zero_opp,,,,,0,0,,P3,encoded_column,500,M02
delta_leak_recall,0.8235000000000001,0.7981975,0.8489025,1.0,500,20,0.05887676693068776,P3,encoded_column,500,M02
delta_deletion_precision,0.8235000000000001,0.7986000000000001,0.8482,1.0,500,20,0.05887676693068776,P3,encoded_column,500,M02
delta_legit_retention,0.048824166666666675,0.043205812499999975,0.05479341666666669,1.0,500,20,0.013614059505822325,P3,encoded_column,500,M02
delta_semantic_group_recall_full,0.8235000000000001,0.7972975,0.8489025,1.0,500,20,0.05887676693068776,P3,encoded_column,500,M02
delta_semantic_group_recall_any,0.8235000000000001,0.7988000000000001,0.8497024999999999,1.0,500,20,0.05887676693068776,P3,encoded_column,500,M02
delta_partial_group_violation_rate,0.0,0.0,0.0,0.0,500,20,0.0,P3,encoded_column,500,M02
delta_legacy_sdr,-0.023141288650749887,-0.04483308171273783,-0.005379262697618792,0.0022,500,20,0.04693363957007994,P3,encoded_column,500,M03
delta_directional_repair,-0.012112298953575514,-0.02541961657603702,-0.0013376948491199856,0.0104,500,20,0.0284018699026647,P3,encoded_column,500,M03
delta_same_side_residual,0.012112298953575514,0.0012282868184128005,0.02549612169637218,0.9868,500,20,0.0284018699026647,P3,encoded_column,500,M03
delta_overcorrection,0.010405188990183637,0.0025800729247951936,0.020145926293003383,0.9994,500,20,0.02048719354658147,P3,encoded_column,500,M03
