metric,mean,ci_lo,ci_hi,p_gt_zero,n_keys,n_tasks,task_sd,policy,contract,budget_bp
delta_legacy_sdr,0.060117787160108,0.047496279992257036,0.0710537266358883,1.0,5500,20,0.027985696386463133,P3,encoded_column,500
delta_directional_repair,0.06490981199863338,0.05550011520839569,0.07329315925073704,1.0,5500,20,0.020859275152043638,P3,encoded_column,500
delta_same_side_residual,-0.06490981199863338,-0.07343705922030504,-0.05525123366452738,0.0,5500,20,0.020859275152043638,P3,encoded_column,500
delta_overcorrection,0.004655855208722785,0.0010359923813072524,0.009078667647854782,0.9984,5500,20,0.009437658686544101,P3,encoded_column,500
delta_introduced_distortion,0.0001361696298025937,2.2554755379762797e-05,0.0002820969621031422,0.9942,5500,20,0.0003062725044672637,P3,encoded_column,500
delta_introduced_distortion_zero_opp,0.024872874172525122,0.0043797935415705236,0.050383870319484866,0.9972,30,14,0.04578813183468306,P3,encoded_column,500
delta_leak_recall,0.35643106060606067,0.3316005303030304,0.38120057765151516,1.0,5500,20,0.05819358739388104,P3,encoded_column,500
delta_deletion_precision,0.48753636363636355,0.45929045454545453,0.5166892045454545,1.0,5500,20,0.06708203867657613,P3,encoded_column,500
delta_legit_retention,0.029397386784783847,0.02692247394456034,0.03208898856290769,1.0,5500,20,0.006012894366454607,P3,encoded_column,500
delta_semantic_group_recall_full,0.3115727272727272,0.2887543181818181,0.3343111363636364,1.0,5500,20,0.053715707269675915,P3,encoded_column,500
delta_semantic_group_recall_any,0.48127272727272724,0.45477909090909086,0.5098645454545455,1.0,5500,20,0.06439884961108368,P3,encoded_column,500
delta_partial_group_violation_rate,0.16970000000000002,0.16371818181818182,0.17624545454545454,1.0,5500,20,0.014616010098387734,P3,encoded_column,500
delta_legacy_sdr,0.055519372091719824,0.029143736582227277,0.07708786739170326,0.9994,5500,20,0.05780623631043784,P3,encoded_column,1000
delta_directional_repair,0.07352266839973798,0.060473956255900595,0.08528545831462683,1.0,5500,20,0.02891446341399932,P3,encoded_column,1000
delta_same_side_residual,-0.07352266839973798,-0.08541506026761615,-0.06054305035627561,0.0,5500,20,0.02891446341399932,P3,encoded_column,1000
delta_overcorrection,0.017767780575400502,0.0055747246744846605,0.03436510065490294,1.0,5500,20,0.03374860165361563,P3,encoded_column,1000
