FR_category,learner,dataset_index,mechanism,strength,training_seed,archetype,delta_legacy_sdr,p3_legacy_sdr,delta_overcorrection,p3_overcorrection
FR1,LR,9,M09,S1,2026,drifting,0.064447,0.086561,0.0,0.0
FR1,LR,14,M01,S1,7777,drifting,0.045108,0.040038,-0.000258,0.007289
FR1,LR,14,M09,S1,3407,drifting,0.037461,0.052767,0.0,0.0
FR1,LR,4,M02,S1,2026,drifting,0.034552,0.051555,-0.00122,0.0
FR1,LR,13,M09,S1,2026,sparse,0.034551,0.044905,-0.001787,0.009445
FR1,LR,14,M01,S1,3407,drifting,0.034174,0.041744,0.003635,0.004942
FR1,LR,14,M01,S1,13,drifting,0.033326,0.04626,-0.001202,0.0048
FR1,LR,16,M09,S1,7777,interaction,0.029235,0.050041,0.0,0.0
FR1,LR,14,M09,S1,2026,drifting,0.028625,0.037477,0.0,0.0
FR1,LR,1,M01,S1,42,interaction,0.02788,0.031803,-0.001953,0.0
FR1,LR,0,M01,S1,7777,linear,0.026219,0.024792,-0.012594,0.0
FR1,LR,15,M10,S1,7777,linear,0.026144,0.034962,-0.005331,0.0
FR1,LR,4,M02,S1,13,drifting,0.02605,0.050125,-0.005679,0.0
FR1,LR,9,M01,S1,42,drifting,0.02478,0.022253,-0.003605,0.000947
FR1,LR,14,M01,S1,42,drifting,0.023081,0.030935,0.005404,0.011271
FR1,LR,4,M09,S1,7777,drifting,0.022916,0.043949,0.0,0.0
FR1,LR,7,M02,S1,7777,nonlinear,0.022716,0.033752,0.0,0.0
FR1,LR,9,M01,S1,13,drifting,0.021959,0.032756,-0.001933,0.0
FR1,LR,0,M01,S1,13,linear,0.021683,0.017604,-0.014495,0.0
FR1,LR,0,M08,S3,3407,linear,0.021282,-0.016979,-0.015521,0.021354
FR2,LR,14,M01,S1,7777,drifting,0.045108,0.040038,-0.000258,0.007289
FR2,LR,4,M02,S1,2026,drifting,0.034552,0.051555,-0.00122,0.0
FR2,LR,14,M01,S1,3407,drifting,0.034174,0.041744,0.003635,0.004942
FR2,LR,14,M01,S1,13,drifting,0.033326,0.04626,-0.001202,0.0048
FR2,LR,1,M01,S1,42,interaction,0.02788,0.031803,-0.001953,0.0
