mechanism,category,auprc,detectability,core_mean_harm,harm_gt_001_rate,n_positive_core,exploitability,profile
M01,SIMPLE,1.0,HIGH,0.079,1.0,5,HIGH,C1-DH-XH
M02,SIMPLE,1.0,HIGH,0.07,0.8,4,HIGH,C1-DH-XH
M03,BOUNDARY,0.999,HIGH,0.061,0.8,4,CONDITIONAL,C1-DH-XC
M04,STRUCTURED,0.048,LOW,-0.008,0.0,0,LOW,C1-DL-XL
M05,STRUCTURED,0.069,LOW,-0.009,0.0,0,LOW,C1-DL-XL
M06,SIMPLE,1.0,HIGH,0.071,1.0,5,HIGH,C1-DH-XH
M07,BOUNDARY,0.453,MEDIUM,0.05,1.0,5,CONDITIONAL,C1-DM-XC
M08,STRUCTURED,0.048,LOW,-0.027,0.0,0,LOW,C1-DL-XL
M09,STRUCTURED,0.048,LOW,-0.01,0.0,0,LOW,C1-DL-XL
M10,SIMPLE,1.0,HIGH,0.071,1.0,5,HIGH,C1-DH-XH
M11,BOUNDARY,0.819,HIGH,0.052,1.0,5,HIGH,C1-DH-XH
