model,ds,mech,str,seed,clean,full,infl,note
TabPFNv2,ds_0,M01,S1,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M01,S1,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M01,S1,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M01,S3,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M01,S3,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M01,S3,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M01,S5,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M01,S5,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M01,S5,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M03,S1,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M03,S1,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M03,S1,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M03,S3,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M03,S3,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M03,S3,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M03,S5,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M03,S5,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M03,S5,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M04,S1,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M04,S1,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M04,S1,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M04,S3,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M04,S3,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M04,S3,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M04,S5,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M04,S5,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
