ds,mech,strength,strategy,budget,leak_recall,legit_retention,residual_contam,n_quarantined,degenerate
meta_0,M04,S1,no_removal,0.05,0.0,1.0,1.0,0,False
meta_0,M04,S1,oracle,0.05,1.0,1.0,0.0,1,False
meta_0,M04,S1,field_budget,0.05,0.0,0.9166666666666666,1.0,1,True
meta_0,M04,S1,group_budget,0.05,0.0,1.0,1.0,0,False
meta_0,M04,S1,lifecycle,0.05,1.0,1.0,0.0,1,False
meta_0,M04,S1,graph_cut,0.05,0.0,1.0,1.0,0,False
meta_0,M04,S1,no_removal,0.1,0.0,1.0,1.0,0,False
meta_0,M04,S1,oracle,0.1,1.0,1.0,0.0,1,False
meta_0,M04,S1,field_budget,0.1,0.0,0.8333333333333334,1.0,2,True
meta_0,M04,S1,group_budget,0.1,0.0,1.0,1.0,0,False
meta_0,M04,S1,lifecycle,0.1,1.0,1.0,0.0,1,False
meta_0,M04,S1,graph_cut,0.1,0.0,1.0,1.0,0,False
meta_0,M04,S1,no_removal,0.2,0.0,1.0,1.0,0,False
meta_0,M04,S1,oracle,0.2,1.0,1.0,0.0,1,False
meta_0,M04,S1,field_budget,0.2,0.0,0.75,1.0,3,True
meta_0,M04,S1,group_budget,0.2,0.0,1.0,1.0,0,False
meta_0,M04,S1,lifecycle,0.2,1.0,1.0,0.0,1,False
meta_0,M04,S1,graph_cut,0.2,0.0,1.0,1.0,0,False
meta_0,M04,S1,no_removal,0.3,0.0,1.0,1.0,0,False
meta_0,M04,S1,oracle,0.3,1.0,1.0,0.0,1,False
meta_0,M04,S1,field_budget,0.3,0.0,0.6666666666666666,1.0,4,True
meta_0,M04,S1,group_budget,0.3,0.0,1.0,1.0,0,False
meta_0,M04,S1,lifecycle,0.3,1.0,1.0,0.0,1,False
meta_0,M04,S1,graph_cut,0.3,0.0,1.0,1.0,0,False
meta_0,M04,S3,no_removal,0.05,0.0,1.0,1.0,0,False
meta_0,M04,S3,oracle,0.05,1.0,1.0,0.0,1,False
meta_0,M04,S3,field_budget,0.05,0.0,0.9166666666666666,1.0,1,True
meta_0,M04,S3,group_budget,0.05,0.0,1.0,1.0,0,False
meta_0,M04,S3,lifecycle,0.05,1.0,1.0,0.0,1,False
meta_0,M04,S3,graph_cut,0.05,0.0,1.0,1.0,0,False
meta_0,M04,S3,no_removal,0.1,0.0,1.0,1.0,0,False
meta_0,M04,S3,oracle,0.1,1.0,1.0,0.0,1,False
meta_0,M04,S3,field_budget,0.1,0.0,0.8333333333333334,1.0,2,True
meta_0,M04,S3,group_budget,0.1,0.0,1.0,1.0,0,False
meta_0,M04,S3,lifecycle,0.1,1.0,1.0,0.0,1,False
meta_0,M04,S3,graph_cut,0.1,0.0,1.0,1.0,0,False
meta_0,M04,S3,no_removal,0.2,0.0,1.0,1.0,0,False
meta_0,M04,S3,oracle,0.2,1.0,1.0,0.0,1,False
meta_0,M04,S3,field_budget,0.2,0.0,0.75,1.0,3,True
meta_0,M04,S3,group_budget,0.2,0.0,1.0,1.0,0,False
meta_0,M04,S3,lifecycle,0.2,1.0,1.0,0.0,1,False
meta_0,M04,S3,graph_cut,0.2,0.0,1.0,1.0,0,False
meta_0,M04,S3,no_removal,0.3,0.0,1.0,1.0,0,False
meta_0,M04,S3,oracle,0.3,1.0,1.0,0.0,1,False
meta_0,M04,S3,field_budget,0.3,0.0,0.6666666666666666,1.0,4,True
meta_0,M04,S3,group_budget,0.3,0.0,1.0,1.0,0,False
meta_0,M04,S3,lifecycle,0.3,1.0,1.0,0.0,1,False
meta_0,M04,S3,graph_cut,0.3,0.0,1.0,1.0,0,False
meta_0,M04,S5,no_removal,0.05,0.0,1.0,1.0,0,False
meta_0,M04,S5,oracle,0.05,1.0,1.0,0.0,1,False
meta_0,M04,S5,field_budget,0.05,0.0,0.9166666666666666,1.0,1,True
meta_0,M04,S5,group_budget,0.05,0.0,1.0,1.0,0,False
meta_0,M04,S5,lifecycle,0.05,1.0,1.0,0.0,1,False
meta_0,M04,S5,graph_cut,0.05,0.0,1.0,1.0,0,False
meta_0,M04,S5,no_removal,0.1,0.0,1.0,1.0,0,False
meta_0,M04,S5,oracle,0.1,1.0,1.0,0.0,1,False
meta_0,M04,S5,field_budget,0.1,0.0,0.8333333333333334,1.0,2,True
meta_0,M04,S5,group_budget,0.1,0.0,1.0,1.0,0,False
meta_0,M04,S5,lifecycle,0.1,1.0,1.0,0.0,1,False
meta_0,M04,S5,graph_cut,0.1,0.0,1.0,1.0,0,False
meta_0,M04,S5,no_removal,0.2,0.0,1.0,1.0,0,False
meta_0,M04,S5,oracle,0.2,1.0,1.0,0.0,1,False
meta_0,M04,S5,field_budget,0.2,0.0,0.75,1.0,3,True
meta_0,M04,S5,group_budget,0.2,0.0,1.0,1.0,0,False
meta_0,M04,S5,lifecycle,0.2,1.0,1.0,0.0,1,False
meta_0,M04,S5,graph_cut,0.2,0.0,1.0,1.0,0,False
meta_0,M04,S5,no_removal,0.3,0.0,1.0,1.0,0,False
meta_0,M04,S5,oracle,0.3,1.0,1.0,0.0,1,False
meta_0,M04,S5,field_budget,0.3,0.0,0.6666666666666666,1.0,4,True
meta_0,M04,S5,group_budget,0.3,0.0,1.0,1.0,0,False
meta_0,M04,S5,lifecycle,0.3,1.0,1.0,0.0,1,False
meta_0,M04,S5,graph_cut,0.3,0.0,1.0,1.0,0,False
