ds,mech,str,method,auprc,top5_recall
opmeta_0,M04,S1,I,0.25,1.0
opmeta_0,M04,S1,A,1.0,1.0
opmeta_0,M04,S1,S,0.07692307692307693,1.0
opmeta_0,M04,S1,E,0.09090909090909091,0.0
opmeta_0,M04,S1,I+A,0.5,1.0
opmeta_0,M04,S1,I+S,0.25,1.0
opmeta_0,M04,S1,A+S+E,1.0,1.0
opmeta_0,M04,S1,I+A+S+E,0.2,1.0
opmeta_0,M04,S3,I,0.25,1.0
opmeta_0,M04,S3,A,1.0,1.0
opmeta_0,M04,S3,S,0.07692307692307693,1.0
opmeta_0,M04,S3,E,0.16666666666666666,0.0
opmeta_0,M04,S3,I+A,0.5,1.0
opmeta_0,M04,S3,I+S,0.25,1.0
opmeta_0,M04,S3,A+S+E,1.0,1.0
opmeta_0,M04,S3,I+A+S+E,0.5,1.0
opmeta_0,M04,S5,I,0.2,1.0
opmeta_0,M04,S5,A,1.0,1.0
opmeta_0,M04,S5,S,0.07692307692307693,1.0
opmeta_0,M04,S5,E,0.2,1.0
opmeta_0,M04,S5,I+A,0.5,1.0
opmeta_0,M04,S5,I+S,0.2,1.0
opmeta_0,M04,S5,A+S+E,1.0,1.0
opmeta_0,M04,S5,I+A+S+E,0.5,1.0
opmeta_0,M05,S1,I,0.25,1.0
opmeta_0,M05,S1,A,1.0,1.0
opmeta_0,M05,S1,S,0.07692307692307693,1.0
opmeta_0,M05,S1,E,0.3333333333333333,1.0
opmeta_0,M05,S1,I+A,0.5,1.0
opmeta_0,M05,S1,I+S,0.25,1.0
opmeta_0,M05,S1,A+S+E,1.0,1.0
opmeta_0,M05,S1,I+A+S+E,0.5,1.0
opmeta_0,M05,S3,I,0.07692307692307693,0.0
opmeta_0,M05,S3,A,1.0,1.0
opmeta_0,M05,S3,S,0.07692307692307693,1.0
opmeta_0,M05,S3,E,0.07692307692307693,0.0
opmeta_0,M05,S3,I+A,0.5,1.0
opmeta_0,M05,S3,I+S,0.07692307692307693,0.0
opmeta_0,M05,S3,A+S+E,1.0,1.0
opmeta_0,M05,S3,I+A+S+E,0.2,1.0
opmeta_0,M05,S5,I,0.3333333333333333,1.0
opmeta_0,M05,S5,A,1.0,1.0
opmeta_0,M05,S5,S,0.07692307692307693,1.0
opmeta_0,M05,S5,E,1.0,1.0
opmeta_0,M05,S5,I+A,0.5,1.0
opmeta_0,M05,S5,I+S,0.3333333333333333,1.0
opmeta_0,M05,S5,A+S+E,1.0,1.0
opmeta_0,M05,S5,I+A+S+E,0.5,1.0
opmeta_0,M06,S1,I,0.5888888888888888,1.0
opmeta_0,M06,S1,A,1.0,1.0
opmeta_0,M06,S1,S,0.2,1.0
opmeta_0,M06,S1,E,0.9166666666666665,1.0
opmeta_0,M06,S1,I+A,0.6388888888888888,1.0
opmeta_0,M06,S1,I+S,0.5888888888888888,1.0
opmeta_0,M06,S1,A+S+E,1.0,1.0
opmeta_0,M06,S1,I+A+S+E,0.8055555555555556,1.0
opmeta_0,M06,S3,I,1.0,1.0
opmeta_0,M06,S3,A,1.0,1.0
opmeta_0,M06,S3,S,0.2,1.0
opmeta_0,M06,S3,E,0.6095238095238096,0.6666666666666666
opmeta_0,M06,S3,I+A,1.0,1.0
opmeta_0,M06,S3,I+S,1.0,1.0
opmeta_0,M06,S3,A+S+E,0.8055555555555556,1.0
opmeta_0,M06,S3,I+A+S+E,1.0,1.0
opmeta_0,M06,S5,I,1.0,1.0
opmeta_0,M06,S5,A,1.0,1.0
opmeta_0,M06,S5,S,0.2,1.0
opmeta_0,M06,S5,E,0.5,0.6666666666666666
opmeta_0,M06,S5,I+A,1.0,1.0
opmeta_0,M06,S5,I+S,1.0,1.0
opmeta_0,M06,S5,A+S+E,0.75,1.0
opmeta_0,M06,S5,I+A+S+E,1.0,1.0
opmeta_0,M07,S1,I,0.5,1.0
opmeta_0,M07,S1,A,1.0,1.0
opmeta_0,M07,S1,S,1.0,1.0
opmeta_0,M07,S1,E,0.6111111111111112,0.5
opmeta_0,M07,S1,I+A,0.5,1.0
opmeta_0,M07,S1,I+S,0.5833333333333333,1.0
opmeta_0,M07,S1,A+S+E,1.0,1.0
opmeta_0,M07,S1,I+A+S+E,0.75,1.0
opmeta_0,M07,S3,I,0.5,1.0
opmeta_0,M07,S3,A,1.0,1.0
opmeta_0,M07,S3,S,1.0,1.0
opmeta_0,M07,S3,E,0.6111111111111112,0.5
opmeta_0,M07,S3,I+A,0.5,1.0
opmeta_0,M07,S3,I+S,0.5833333333333333,1.0
opmeta_0,M07,S3,A+S+E,1.0,1.0
opmeta_0,M07,S3,I+A+S+E,0.75,1.0
opmeta_0,M07,S5,I,0.5,1.0
opmeta_0,M07,S5,A,1.0,1.0
opmeta_0,M07,S5,S,1.0,1.0
opmeta_0,M07,S5,E,0.6111111111111112,0.5
opmeta_0,M07,S5,I+A,0.5,1.0
opmeta_0,M07,S5,I+S,0.5833333333333333,1.0
opmeta_0,M07,S5,A+S+E,1.0,1.0
opmeta_0,M07,S5,I+A+S+E,0.75,1.0
opmeta_0,M08,S1,I,0.25,1.0
opmeta_0,M08,S1,A,1.0,1.0
opmeta_0,M08,S1,S,0.07692307692307693,1.0
opmeta_0,M08,S1,E,0.14285714285714285,0.0
opmeta_0,M08,S1,I+A,0.5,1.0
opmeta_0,M08,S1,I+S,0.25,1.0
opmeta_0,M08,S1,A+S+E,1.0,1.0
opmeta_0,M08,S1,I+A+S+E,0.25,1.0
opmeta_0,M08,S3,I,0.25,1.0
opmeta_0,M08,S3,A,1.0,1.0
opmeta_0,M08,S3,S,0.07692307692307693,1.0
opmeta_0,M08,S3,E,1.0,1.0
opmeta_0,M08,S3,I+A,0.5,1.0
opmeta_0,M08,S3,I+S,0.25,1.0
opmeta_0,M08,S3,A+S+E,1.0,1.0
opmeta_0,M08,S3,I+A+S+E,0.5,1.0
opmeta_0,M08,S5,I,0.25,1.0
opmeta_0,M08,S5,A,1.0,1.0
opmeta_0,M08,S5,S,0.07692307692307693,1.0
opmeta_0,M08,S5,E,0.25,1.0
opmeta_0,M08,S5,I+A,0.5,1.0
opmeta_0,M08,S5,I+S,0.25,1.0
opmeta_0,M08,S5,A+S+E,1.0,1.0
opmeta_0,M08,S5,I+A+S+E,0.5,1.0
opmeta_0,M09,S1,I,0.07692307692307693,0.0
opmeta_0,M09,S1,A,1.0,1.0
opmeta_0,M09,S1,S,0.07692307692307693,1.0
opmeta_0,M09,S1,E,0.5,1.0
opmeta_0,M09,S1,I+A,0.5,1.0
opmeta_0,M09,S1,I+S,0.07692307692307693,0.0
opmeta_0,M09,S1,A+S+E,1.0,1.0
opmeta_0,M09,S1,I+A+S+E,0.5,1.0
opmeta_0,M09,S3,I,0.07692307692307693,0.0
opmeta_0,M09,S3,A,1.0,1.0
opmeta_0,M09,S3,S,0.07692307692307693,1.0
opmeta_0,M09,S3,E,0.1111111111111111,0.0
opmeta_0,M09,S3,I+A,0.5,1.0
opmeta_0,M09,S3,I+S,0.07692307692307693,0.0
opmeta_0,M09,S3,A+S+E,0.5,1.0
opmeta_0,M09,S3,I+A+S+E,0.2,1.0
opmeta_0,M09,S5,I,0.07692307692307693,0.0
opmeta_0,M09,S5,A,1.0,1.0
opmeta_0,M09,S5,S,0.07692307692307693,1.0
opmeta_0,M09,S5,E,1.0,1.0
opmeta_0,M09,S5,I+A,0.5,1.0
