ds,mech,str,budget,strategy,leak_recall,legit_retention
opmeta_0,M04,S1,0.05,field_budget,0.0,0.9166666666666666
opmeta_0,M04,S1,0.05,op_lifecycle,1.0,1.0
opmeta_0,M04,S1,0.1,field_budget,0.0,0.8333333333333334
opmeta_0,M04,S1,0.1,op_lifecycle,1.0,1.0
opmeta_0,M04,S1,0.2,field_budget,0.0,0.75
opmeta_0,M04,S1,0.2,op_lifecycle,1.0,1.0
opmeta_0,M04,S1,0.3,field_budget,1.0,0.75
opmeta_0,M04,S1,0.3,op_lifecycle,1.0,1.0
opmeta_0,M04,S3,0.05,field_budget,0.0,0.9166666666666666
opmeta_0,M04,S3,0.05,op_lifecycle,1.0,1.0
opmeta_0,M04,S3,0.1,field_budget,0.0,0.8333333333333334
opmeta_0,M04,S3,0.1,op_lifecycle,1.0,1.0
opmeta_0,M04,S3,0.2,field_budget,0.0,0.75
opmeta_0,M04,S3,0.2,op_lifecycle,1.0,1.0
opmeta_0,M04,S3,0.3,field_budget,1.0,0.75
opmeta_0,M04,S3,0.3,op_lifecycle,1.0,1.0
opmeta_0,M04,S5,0.05,field_budget,0.0,0.9166666666666666
opmeta_0,M04,S5,0.05,op_lifecycle,1.0,1.0
opmeta_0,M04,S5,0.1,field_budget,0.0,0.8333333333333334
opmeta_0,M04,S5,0.1,op_lifecycle,1.0,1.0
opmeta_0,M04,S5,0.2,field_budget,0.0,0.75
opmeta_0,M04,S5,0.2,op_lifecycle,1.0,1.0
opmeta_0,M04,S5,0.3,field_budget,0.0,0.6666666666666666
opmeta_0,M04,S5,0.3,op_lifecycle,1.0,1.0
opmeta_0,M05,S1,0.05,field_budget,0.0,0.9166666666666666
opmeta_0,M05,S1,0.05,op_lifecycle,1.0,1.0
opmeta_0,M05,S1,0.1,field_budget,0.0,0.8333333333333334
opmeta_0,M05,S1,0.1,op_lifecycle,1.0,1.0
opmeta_0,M05,S1,0.2,field_budget,0.0,0.75
opmeta_0,M05,S1,0.2,op_lifecycle,1.0,1.0
opmeta_0,M05,S1,0.3,field_budget,1.0,0.75
opmeta_0,M05,S1,0.3,op_lifecycle,1.0,1.0
opmeta_0,M05,S3,0.05,field_budget,0.0,0.9166666666666666
opmeta_0,M05,S3,0.05,op_lifecycle,1.0,1.0
opmeta_0,M05,S3,0.1,field_budget,0.0,0.8333333333333334
opmeta_0,M05,S3,0.1,op_lifecycle,1.0,1.0
opmeta_0,M05,S3,0.2,field_budget,0.0,0.75
opmeta_0,M05,S3,0.2,op_lifecycle,1.0,1.0
opmeta_0,M05,S3,0.3,field_budget,0.0,0.6666666666666666
opmeta_0,M05,S3,0.3,op_lifecycle,1.0,1.0
opmeta_0,M05,S5,0.05,field_budget,0.0,0.9166666666666666
opmeta_0,M05,S5,0.05,op_lifecycle,1.0,1.0
opmeta_0,M05,S5,0.1,field_budget,0.0,0.8333333333333334
opmeta_0,M05,S5,0.1,op_lifecycle,1.0,1.0
opmeta_0,M05,S5,0.2,field_budget,1.0,0.8333333333333334
opmeta_0,M05,S5,0.2,op_lifecycle,1.0,1.0
opmeta_0,M05,S5,0.3,field_budget,1.0,0.75
opmeta_0,M05,S5,0.3,op_lifecycle,1.0,1.0
opmeta_0,M06,S1,0.05,field_budget,0.0,0.9166666666666666
opmeta_0,M06,S1,0.05,op_lifecycle,0.0,1.0
opmeta_0,M06,S1,0.1,field_budget,0.3333333333333333,0.9166666666666666
opmeta_0,M06,S1,0.1,op_lifecycle,0.0,1.0
opmeta_0,M06,S1,0.2,field_budget,0.6666666666666666,0.9166666666666666
opmeta_0,M06,S1,0.2,op_lifecycle,0.0,1.0
opmeta_0,M06,S1,0.3,field_budget,1.0,0.8333333333333334
opmeta_0,M06,S1,0.3,op_lifecycle,0.0,1.0
opmeta_0,M06,S3,0.05,field_budget,0.3333333333333333,1.0
opmeta_0,M06,S3,0.05,op_lifecycle,0.0,1.0
opmeta_0,M06,S3,0.1,field_budget,0.6666666666666666,1.0
opmeta_0,M06,S3,0.1,op_lifecycle,0.0,1.0
opmeta_0,M06,S3,0.2,field_budget,1.0,1.0
opmeta_0,M06,S3,0.2,op_lifecycle,0.0,1.0
opmeta_0,M06,S3,0.3,field_budget,1.0,0.8333333333333334
opmeta_0,M06,S3,0.3,op_lifecycle,0.0,1.0
opmeta_0,M06,S5,0.05,field_budget,0.3333333333333333,1.0
opmeta_0,M06,S5,0.05,op_lifecycle,0.0,1.0
opmeta_0,M06,S5,0.1,field_budget,0.6666666666666666,1.0
opmeta_0,M06,S5,0.1,op_lifecycle,0.0,1.0
opmeta_0,M06,S5,0.2,field_budget,1.0,1.0
opmeta_0,M06,S5,0.2,op_lifecycle,0.0,1.0
opmeta_0,M06,S5,0.3,field_budget,1.0,0.8333333333333334
