a_ver,mech,str,auprc,i_auprc
raw,M04,S1,0.25,0.07692307692307693
raw,M04,S3,0.1,0.07692307692307693
raw,M04,S5,0.16666666666666666,0.07692307692307693
raw,M05,S1,0.14285714285714285,0.07692307692307693
raw,M05,S3,0.3333333333333333,0.125
raw,M05,S5,1.0,0.07692307692307693
raw,M06,S1,0.9166666666666665,0.6388888888888888
raw,M06,S3,1.0,1.0
raw,M06,S5,1.0,1.0
raw,M07,S1,0.8333333333333333,0.5
raw,M07,S3,0.8333333333333333,0.5
raw,M07,S5,0.8333333333333333,0.5
raw,M08,S1,0.1,0.125
raw,M08,S3,0.25,0.14285714285714285
raw,M08,S5,0.16666666666666666,0.3333333333333333
raw,M09,S1,0.1111111111111111,0.07692307692307693
raw,M09,S3,0.25,0.16666666666666666
raw,M09,S5,0.2,0.07692307692307693
raw,M11,S1,0.6555555555555554,0.4555555555555555
raw,M11,S3,0.7916666666666666,0.9166666666666665
raw,M11,S5,1.0,1.0
raw,M04,S1,0.16666666666666666,0.2
raw,M04,S3,0.125,0.047619047619047616
raw,M04,S5,0.3333333333333333,0.16666666666666666
raw,M05,S1,0.1111111111111111,0.047619047619047616
raw,M05,S3,0.14285714285714285,0.1
raw,M05,S5,0.09090909090909091,0.1
raw,M06,S1,0.7555555555555555,0.9166666666666665
raw,M06,S3,1.0,1.0
raw,M06,S5,1.0,1.0
raw,M07,S1,0.75,0.29545454545454547
raw,M07,S3,0.75,0.29545454545454547
raw,M07,S5,0.75,0.29545454545454547
raw,M08,S1,0.05263157894736842,0.047619047619047616
raw,M08,S3,0.125,0.047619047619047616
raw,M08,S5,0.3333333333333333,0.125
raw,M09,S1,0.09090909090909091,0.3333333333333333
raw,M09,S3,0.25,0.09090909090909091
raw,M09,S5,0.1111111111111111,0.047619047619047616
raw,M11,S1,0.3888888888888889,0.321256038647343
raw,M11,S3,1.0,0.9166666666666666
raw,M11,S5,0.9166666666666665,1.0
raw,M04,S1,0.1111111111111111,0.07692307692307693
raw,M04,S3,0.125,0.07692307692307693
raw,M04,S5,0.2,0.125
raw,M05,S1,0.25,0.2
raw,M05,S3,0.16666666666666666,0.2
raw,M05,S5,0.125,0.07692307692307693
raw,M06,S1,0.7,0.6388888888888888
raw,M06,S3,1.0,1.0
raw,M06,S5,1.0,1.0
raw,M07,S1,0.8333333333333333,0.34090909090909094
raw,M07,S3,0.8333333333333333,0.34090909090909094
raw,M07,S5,0.8333333333333333,0.34090909090909094
