dataset_index,mean,median,size
0,0.00410541666666667,0.0033333333333334,125
1,-0.0088559329357877,-0.0044075706507648,125
2,-0.00425028280542989,-0.0016261312217192,125
3,0.008336925287356287,0.007602969348659,125
4,-0.016732989638099112,-0.015976724005921,125
5,0.0031059829059829473,-0.0024786324786324,125
6,0.014052010760847026,0.011174725805339,125
7,0.005212506501762649,0.0049702363751951,125
8,0.004628769841269816,0.0040674603174604,125
9,0.020789084022038544,0.0191115702479339,125
10,0.0048032407407407225,0.0110677083333334,125
11,-0.01862916834069904,-0.0187108993858693,125
12,-0.009099516908212507,-0.0072946859903381,125
13,-0.0008659486329743304,-0.0003314001657002,125
14,0.01641231688237796,0.0139027165410324,125
15,0.0050445402298850426,0.0078424329501914,125
16,0.013049636803874044,0.0141747376916866,125
17,0.020791823561054287,0.0223031406463358,125
18,0.004487209179913634,0.0043864266414006,125
19,0.023626755246866925,0.0205948965725502,125
